"","latitude","longitude","deathdate","ptype","druginv","alcinv","accdate"
"1","39.27796111","-76.55098889","0","1","8","0","1162001"
"2","39.27796111","-76.55098889","0","1","8","0","1162001"
"3","39.27796111","-76.55098889","0","1","8","0","1162001"
"4","39.27796111","-76.55098889","1162001","1","8","0","1162001"
"5","39.27796111","-76.55098889","0","1","8","0","1162001"
"6","39.27796111","-76.55098889","0","2","8","8","1162001"
"7","39.27796111","-76.55098889","0","1","8","0","1162001"
"8","39.28836944","-76.533575","0","1","8","0","2132001"
"9","39.28836944","-76.533575","2132001","1","8","8","2132001"
"10","39.291975","-76.55366111","2272001","5","8","0","2272001"
"11",".",".",".",".",".",".","."
"12","39.20395278","-76.56332778","1042001","1","8","8","1042001"
"13","39.20395278","-76.56332778","0","1","8","0","1042001"
"14","39.20395278","-76.56332778","0","1","8","0","1042001"
"15","39.30467778","-76.58552222","2162001","5","8","0","2132001"
"16","39.30467778","-76.58552222","0","1","8","0","2132001"
"17","39.29434722","-76.58489444","2092001","5","8","8","2092001"
"18","39.29434722","-76.58489444","0","1","8","0","2092001"
"19","39.32859167","-76.60940278","0","5","8","8","1062001"
"20","39.32859167","-76.60940278","0","5","8","0","1062001"
"21","39.32859167","-76.60940278","0","5","0","0","1062001"
"22","39.32859167","-76.60940278","1082001","5","8","8","1062001"
"23","39.32859167","-76.60940278","0","1","8","0","1062001"
"24","39.32859167","-76.60940278","0","1","8","0","1062001"
"25","39.32859167","-76.60940278","0","2","8","8","1062001"
"26","39.24955","-76.61491944","0","1","8","1","1012001"
"27","39.24955","-76.61491944","1012001","1","8","0","1012001"
"28","39.24955","-76.61491944","0","2","0","0","1012001"
"29","39.28355833","-76.62610833","1302001","5","8","8","1302001"
"30","39.28355833","-76.62610833","0","1","8","0","1302001"
"31","39.30914722","-76.6675","0","1","8","0","4222001"
"32","39.30914722","-76.6675","0","2","8","8","4222001"
"33","39.30914722","-76.6675","0","2","8","8","4222001"
"34","39.30914722","-76.6675","4222001","1","8","0","4222001"
"35","39.29579444","-76.57923611","3142001","5","0","0","3132001"
"36","39.29579444","-76.57923611","0","1","8","0","3132001"
"37","39.326525","-76.68847778","0","1","9","8","2272001"
"38","39.326525","-76.68847778","2272001","1","8","0","2272001"
"39","39.326525","-76.68847778","2272001","2","8","8","2272001"
"40","39.28981944","-76.63964722","0","1","8","8","3172001"
"41","39.28981944","-76.63964722","0","2","8","8","3172001"
"42","39.28981944","-76.63964722","0","2","8","8","3172001"
"43","39.28981944","-76.63964722","3172001","1","8","8","3172001"
"44","39.28981944","-76.63964722","3172001","2","8","8","3172001"
"45","39.28981944","-76.63964722","0","2","8","8","3172001"
"46","39.29494444","-76.62143056","0","1","8","8","2252001"
"47","39.29494444","-76.62143056","0","1","8","0","2252001"
"48","39.29494444","-76.62143056","2252001","2","8","8","2252001"
"49","39.29494444","-76.62143056","0","2","8","8","2252001"
"50","39.25303056","-76.633725","1252001","1","8","0","1252001"
"51","39.27410278","-76.67141944","4032001","5","8","8","4032001"
"52","39.27410278","-76.67141944","0","1","8","8","4032001"
"53","39.33983056","-76.67806389","5292001","1","8","0","5292001"
"54","39.35682222","-76.64450278","5132001","5","8","8","5132001"
"55","39.35682222","-76.64450278","0","1","8","0","5132001"
"56","39.29580833","-76.53146389","7092001","1","8","8","7092001"
"57","39.29580833","-76.53146389","0","1","8","0","7092001"
"58","39.29580833","-76.53146389","0","1","8","0","7092001"
"59","39.29580833","-76.53146389","0","1","8","0","7092001"
"60","39.29444444","-76.66918056","6012001","5","8","8","6012001"
"61","39.29444444","-76.66918056","0","1","8","0","6012001"
"62","39.25730556","-76.63023056","6122001","1","8","0","6122001"
"63","39.29033333","-76.65575","0","1","8","0","6022001"
"64","39.29033333","-76.65575","0","2","8","8","6022001"
"65","39.29033333","-76.65575","0","1","8","1","6022001"
"66","39.29033333","-76.65575","6112001","2","8","8","6022001"
"67","39.32294167","-76.58855556","6072001","5","8","8","6072001"
"68","39.32294167","-76.58855556","0","1","8","0","6072001"
"69","39.25236944","-76.65129167","0","1","8","8","6222001"
"70","39.25236944","-76.65129167","6222001","2","8","8","6222001"
"71","39.25236944","-76.65129167","0","2","8","8","6222001"
"72","39.25236944","-76.65129167","0","2","8","8","6222001"
"73","39.25236944","-76.65129167","0","2","8","8","6222001"
"74","39.28537222","-76.64373056","5012001","5","8","0","4242001"
"75","39.28537222","-76.64373056","0","1","8","0","4242001"
"76","39.31135","-76.61373889","0","1","8","0","7072001"
"77","39.31135","-76.61373889","0","2","8","8","7072001"
"78","39.31135","-76.61373889","7182001","1","8","8","7072001"
"79","39.31135","-76.61373889","0","2","8","8","7072001"
"80","39.29358611","-76.63572778","7212001","1","8","8","7212001"
"81","39.29358611","-76.63572778","0","2","8","8","7212001"
"82","39.29358611","-76.63572778","0","2","8","8","7212001"
"83","39.29367778","-76.55999444","7232001","5","0","0","7232001"
"84","39.29367778","-76.55999444","0","1","8","0","7232001"
"85","39.28084444","-76.65050278","8142001","5","0","0","8132001"
"86","39.28084444","-76.65050278","0","1","8","0","8132001"
"87","39.29798889","-76.57659722","8282001","6","8","8","8282001"
"88","39.29798889","-76.57659722","0","1","8","0","8282001"
"89","39.36512222","-76.60805556","10022001","1","8","8","10022001"
"90","39.34891944","-76.70093611","0","1","8","0","8252001"
"91","39.34891944","-76.70093611","8252001","1","8","0","8252001"
"92","39.34891944","-76.70093611","0","1","8","0","8252001"
"93","39.34891944","-76.70093611","0","2","8","8","8252001"
"94","39.32915","-76.58413611","9112001","5","8","1","9102001"
"95","39.32915","-76.58413611","0","1","8","0","9102001"
"96","39.32930278","-76.58456667","10292001","1","8","8","10292001"
"97","39.28644722","-76.6278","0","1","8","0","4242001"
"98","39.28644722","-76.6278","4252001","1","8","8","4242001"
"99","39.29480833","-76.65633333","0","1","8","8","4222001"
"100","39.29480833","-76.65633333","0","2","8","8","4222001"
"101","39.29480833","-76.65633333","4222001","1","8","8","4222001"
"102","39.28675556","-76.56898611","1252002","5","8","8","12312001"
"103","39.28675556","-76.56898611","0","1","8","0","12312001"
"104","39.27692222","-76.61435","12152001","5","8","1","12152001"
"105","39.27692222","-76.61435","0","1","8","0","12152001"
"106","39.30100556","-76.64768611","12122001","1","8","8","12032001"
"107","39.30100556","-76.64768611","0","2","8","8","12032001"
"108","39.30100556","-76.64768611","0","1","8","0","12032001"
"109","39.32680556","-76.55302778","12202001","5","0","0","12202001"
"110","39.32680556","-76.55302778","0","5","0","0","12202001"
"111","39.32680556","-76.55302778","0","5","0","0","12202001"
"112","39.32680556","-76.55302778","0","5","0","0","12202001"
"113","39.32680556","-76.55302778","0","1","8","1","12202001"
"114","39.32680556","-76.55302778","0","2","8","8","12202001"
