"subType","name","block","type","numLanes","project","route","length","dateInstalled","lon","lat"
"STRPRD","WILLIAM ST","1100 BLK WILLIAM ST","SIGNED ROUTE",1," ","FT McHENRY",156.4110891,0,"-76.610850","39.277102"
"STRPRD","PIMLICO ROAD","5900 BLK PIMLICO ROAD","SHARROW",2," "," ",173.966166,2012,"-76.673903","39.365487"
"STRPRD","PIMLICO ROAD",NA,"BIKE LANE",2," "," ",146.6017691,2012,NA,NA
"STRPRD","RIVERSIDE AVE","1000 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",155.0532069,0,"-76.609182","39.278448"
"STRPRD","RIVERSIDE AVE","1000 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",194.8494481,0,"-76.609182","39.278448"
"STRPRD","RIVERSIDE AVE","1100 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",383.7296216,0,"-76.609165","39.277076"
"STRPRD","RIVERSIDE AVE","1200 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",107.7546666,0,"-76.609067","39.276210"
"STRPRD","RIVERSIDE AVE","1200 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",162.9255149,0,"-76.609067","39.276210"
"STRPRD","RIVERSIDE AVE","1200 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",189.9645803,0,"-76.609067","39.276210"
"STRPRD","RIVERSIDE AVE","1200 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",301.4760727,0,"-76.609067","39.276210"
"STRPRD","RIVERSIDE AVE","1400 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",156.376793,0,"-76.608825","39.274036"
"STRPRD","RIVERSIDE AVE","900 BLK RIVERSIDE AVE","SIGNED ROUTE",1," ","FT McHENRY",202.3353739,0,"-76.609233","39.278989"
"STRPRD","EUTAW PL","2500 BLK EUTAW PL"," ",1," ","EUTAW",180.2533503,0,"-76.638730","39.314822"
"STRPRD","EUTAW PL","2500 BLK EUTAW PL"," ",1," ","EUTAW",78.8640942,0,"-76.638730","39.314822"
"STRPRD","EUTAW PL","2500 BLK EUTAW PL"," ",1," ","EUTAW",64.03052626,0,"-76.638730","39.314822"
"STRPRD","EUTAW PL","2400 BLK EUTAW PL"," ",1," ","EUTAW",529.7547289,0,"-76.637145","39.313198"
"STRPRD","EUTAW PL","2400 BLK EUTAW PL"," ",1," ","EUTAW",107.7141451,0,"-76.637145","39.313198"
"STRPRD","EUTAW PL","2400 BLK EUTAW PL"," ",1," ","EUTAW",105.5427997,0,"-76.637145","39.313198"
"STRPRD","EUTAW PL","2300 BLK EUTAW PL"," ",1," ","EUTAW",658.7679628,0,"-76.635654","39.311666"
