subType,name,block,type,numLanes,project,route,length,dateInstalled,lon,lat
 , , ,BIKE BOULEVARD,1,GUILFORD AVE BIKE BLVD, ,435.737877,0,-76.6121893,39.2903848
 , , ,SIDEPATH,1, ,NORTHERN,1024.674625,2010,-76.6121893,39.2903848
 , , ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK, ,3749.322638,2010,-76.6121893,39.2903848
 ,HUNTINGDON PATH, ,SIDEPATH,1, , ,0,0,-76.6212359,39.318781
STCLN,EDMONDSON AVE,5300 BLK EDMONDSON AVE,BIKE LANE,1,OPERATION ORANGE CONE, ,180.9254649,2011,-76.6899559,39.2934341
STRALY,WINSTON-ROSSITER,1200 BLK WINSTON-ROSSITER,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,147.9777156,2007,-76.6121893,39.2903848
STRALY,WINSTON-ROSSITER,1200 BLK WINSTON-ROSSITER,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,365.6847126,2007,-76.6121893,39.2903848
STRALY,WINSTON-STONEWOOD,1200 BLK WINSTON-STONEWOOD,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,262.3718946,2007,-76.5885551,39.3454285
STRPRD, , ,BIKE LANE,1,MAINTENANCE, ,695.6983167,2009,-76.6121893,39.2903848
STRPRD, , ,SHARROW,1,COLLEGETOWN, ,43.14083266,2007,-76.6121893,39.2903848
STRPRD, , ,SHARROW,1,COLLEGETOWN, ,67.8191425,2007,-76.6121893,39.2903848
STRPRD, , ,SHARROW,1,COLLEGETOWN, ,76.00671671,2007,-76.6121893,39.2903848
STRPRD, , ,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,49.30228443,2007,-76.6121893,39.2903848
STRPRD, , ,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,70.02043059,2007,-76.6121893,39.2903848
STRPRD, , ,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,764.929695,2007,-76.6121893,39.2903848
STRPRD, , ,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,170.1489594,2007,-76.6121893,39.2903848
STRPRD, , ,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,1724.159017,2007,-76.6121893,39.2903848
STRPRD,ALBEMARLE ST, ,SHARROW,2,SOUTHEAST BIKE NETWORK, ,74.30083603,2010,-76.6030649,39.2873639
STRPRD,ALBEMARLE ST, ,SHARROW,2,SOUTHEAST BIKE NETWORK, ,95.14169058,2010,-76.6030649,39.2873639
STRPRD,ALBEMARLE ST, ,SHARROW,2,SOUTHEAST BIKE NETWORK, ,120.3304462,2010,-76.6030649,39.2873639
STRPRD,ALBEMARLE ST, ,SHARROW,2,SOUTHEAST BIKE NETWORK, ,149.8837181,2010,-76.6030649,39.2873639
STRPRD,ALBEMARLE ST,100 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,250.3391948,2011,-76.6030649,39.2873639
STRPRD,ALBEMARLE ST,100 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,257.0453427,2011,-76.6030649,39.2873639
STRPRD,ALBEMARLE ST,200 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,250.6292537,2011,-76.6030649,39.2873639
STRPRD,ALBEMARLE ST,200 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,251.7320222,2011,-76.6030649,39.2873639
STRPRD,ALBEMARLE ST,300 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,251.6135617,2011,-76.6030649,39.2873639
STRPRD,ALBEMARLE ST,UNIT BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,130.0846029,2011,-76.6030649,39.2873639
