"lat","lon","type"
39.340949,-76.607486,"Hazard"
39.3452476,-76.6136854,"Hazard"
39.346949,-76.61248,"Hazard"
39.346961,-76.613834,"Hazard"
39.347796,-76.614647,"Hazard"
39.2815372,-76.6902498,"Hazard"
39.3487477,-76.688139,"Hazard"
39.3626772,-76.6010414,"Hazard"
39.3273606,-76.6824045,"Hazard"
39.346732,-76.5972309,"Hazard"
39.2770515,-76.5693439,"Hazard"
39.314158,-76.668367,"Hazard"
39.3598677,-76.5952548,"Hazard"
39.2725099,-76.551424,"Hazard"
39.288161,-76.556125,"Hazard"
39.2978667,-76.579374,"Hazard"
39.299538,-76.587655,"Hazard"
39.3147058,-76.6644683,"Hazard"
39.3650963,-76.567092,"Hazard"
39.351054,-76.5495119,"Hazard"
39.3173337,-76.5458891,"Hazard"
39.306769,-76.625269,"Hazard"
39.3496319,-76.5542821,"Hazard"
39.2902089,-76.6297208,"Hazard"
39.2919664,-76.6741349,"Hazard"
39.292961,-76.594589,"Hazard"
39.2580689,-76.5330378,"Hazard"
39.288383,-76.620364,"Hazard"
39.283892,-76.624315,"Hazard"
39.3607889,-76.614113,"Hazard"
39.2898658,-76.5879259,"Hazard"
39.3389452,-76.5492769,"Hazard"
39.2843303,-76.6442809,"Hazard"
39.3398929,-76.558887,"Hazard"
39.3293585,-76.533289,"Hazard"
39.2790246,-76.5433779,"Hazard"
39.3245037,-76.5459657,"Hazard"
39.2318083,-76.5977214,"Hazard"
39.314329,-76.5622549,"Hazard"
39.203714,-76.566125,"Hazard"
39.204413,-76.5674728,"Hazard"
39.276027,-76.5331999,"Hazard"
39.337439,-76.699157,"Hazard"
39.347837,-76.572587,"Hazard"
39.31696,-76.636167,"Hazard"
39.321808,-76.565303,"Hazard"
39.3120262,-76.6021057,"Hazard"
39.350535,-76.686031,"Hazard"
39.314168,-76.615476,"Hazard"
39.288269,-76.543147,"Hazard"
39.3490377,-76.6757359,"Hazard"
39.3559928,-76.6940983,"Hazard"
39.349111,-76.686672,"Hazard"
39.289453,-76.640525,"Hazard"
39.2885068,-76.6136243,"Hazard"
39.357349,-76.6905249,"Hazard"
39.2831601,-76.5971141,"Hazard"
39.284525,-76.589106,"Hazard"
39.3272811,-76.6821116,"Hazard"
39.364515,-76.600377,"Hazard"
39.3477419,-76.615318,"Hazard"
39.285963,-76.599861,"Hazard"
39.2831601,-76.5971141,"Hazard"
39.2718523,-76.657798,"Hazard"
39.3393358,-76.6624968,"Hazard"
39.2821143,-76.6448751,"Hazard"
39.365872,-76.540901,"Hazard"
39.2929558,-76.5715498,"Hazard"
39.271211,-76.6126309,"Hazard"
39.27288,-76.539147,"Hazard"
39.2967098,-76.6213898,"Hazard"
39.3595487,-76.5816433,"Hazard"
39.2927976,-76.6454148,"Hazard"
39.290315,-76.5907579,"Hazard"
39.314481,-76.686183,"Hazard"
39.360201,-76.581644,"Hazard"
39.326588,-76.5913829,"Hazard"
39.2844939,-76.5952318,"Hazard"
39.286847,-76.632026,"Hazard"
39.352206,-76.544352,"Hazard"
39.2915859,-76.6256507,"Hazard"
39.362144,-76.559172,"Hazard"
39.2977123,-76.5829415,"Hazard"
39.331117,-76.67766,"Hazard"
39.234964,-76.605445,"Hazard"
39.3288296,-76.615245,"Hazard"
39.350029,-76.568297,"Hazard"
39.342695,-76.557539,"Hazard"
39.3513016,-76.558797,"Hazard"
39.280026,-76.685236,"Hazard"
39.30756,-76.5926644,"Hazard"
39.3345863,-76.5984302,"Hazard"
39.341788,-76.621131,"Hazard"
39.334617,-76.6809789,"Hazard"
39.358616,-76.533047,"Hazard"
39.3138839,-76.5674777,"Hazard"
39.340116,-76.618772,"Hazard"
39.363539,-76.593543,"Hazard"
39.3446915,-76.5998415,"Hazard"
39.268524,-76.6840409,"Hazard"
39.3201996,-76.5477562,"Hazard"
39.2956713,-76.5894384,"Hazard"
39.2908534,-76.5893278,"Hazard"
39.2944063,-76.6774649,"Hazard"
39.290583,-76.619769,"Hazard"
39.336674,-76.609842,"Hazard"
39.2940979,-76.6405763,"Hazard"
39.2823533,-76.6423985,"Hazard"
39.2770088,-76.6923438,"Hazard"
39.3491009,-76.537063,"Hazard"
39.3443222,-76.5326814,"Hazard"
39.3273953,-76.5877581,"Hazard"
39.29119,-76.575585,"Hazard"
39.292825,-76.675731,"Hazard"
39.267496,-76.65265,"Hazard"
39.2777335,-76.5449307,"Hazard"
39.2486408,-76.6269781,"Hazard"
39.2731285,-76.5377789,"Hazard"
39.269196,-76.612089,"Hazard"
39.3393042,-76.6593223,"Hazard"
39.3696007,-76.569225,"Hazard"
39.366248,-76.660259,"Hazard"
39.3020089,-76.5851507,"Hazard"
39.3582455,-76.5986467,"Hazard"
39.30609,-76.608958,"Hazard"
39.2996851,-76.5956077,"Hazard"
39.30824,-76.5798935,"Hazard"
39.3568916,-76.5577682,"Hazard"
39.2625375,-76.535298,"Hazard"
39.3162097,-76.6377589,"Hazard"
39.3689902,-76.7072102,"Hazard"
39.2819105,-76.5721147,"Hazard"
39.282491,-76.5925759,"Hazard"
39.366188,-76.5939,"Hazard"
39.3626166,-76.6029021,"Hazard"
39.366657,-76.6050434,"Hazard"
39.366657,-76.6050434,"Hazard"
