"lat","lon","address","description"
"39.3057177223","-76.5847214730","2300 E PRESTON ST","Mace/Chem Device-Int/Injure || Agg Assault"
"39.3076041528","-76.6442604978","1600 VINCENT CT","Asslt-Sec Degree || Domestic Assault"
"39.2864625223","-76.6868019458","UNIT N WOODINGTON RD","Asslt-Sec Degree || Agg Assault"
"39.2957524644","-76.6770562490","700 N GRANTLEY ST","Asslt-Sec Degree || Assault"
"39.2948971607","-76.6951004258","4600 COLEHERNE RD","Asslt-Sec Degree || Common Assault"
"39.2274339958","-76.5902388712","4200 FAIRHAVEN AVE","Theft: Less $1,000 Value || Assault"
"39.2887012836","-76.5466463256","400 ANGLESEA ST","Asslt-Sec Degree || Common Assault"
"39.2949697033","-76.6198515106","300 W FRANKLIN ST","Asslt-Sec Degree || 2Nd Degree Common Assault"
"39.3034215211","-76.5936134140","1100 MCDONOGH ST","Firearm Poss W/Fel Convict || Handgun Violation"
"39.2272503561","-76.5986125029","1000 DRUIDON CT","Handgun On Person || Hgv"
"39.3045544798","-76.6154400946","UNIT E PRESTON ST","Asslt-Sec Degree || Common Assault"
"39.2970002200","-76.6266324583","900 PENNSYLVANIA AVE","Asslt-First Degree || Agg Assault"
"39.3405366089","-76.6031220180","900 BELGIAN AVE","Asslt-Sec Degree || 2Nd Degree Assault"
"39.2832668359","-76.5931477389","700 S BROADWAY","Asslt-Sec Degree || 2Nd Degree Assault"
"39.2816800150","-76.5366165215","6500 ODONNELL ST","Asslt-Sec Degree || Aggravated Assault"
"39.2742689333","-76.5361413752","6400 HARTWAIT ST","Asslt-Sec Degree || Assault 2Nd. Deg."
"39.2934144288","-76.6981204609","600 WINANS WAY","Asslt-Sec Degree || Common Assault"
"39.3589830568","-76.5818075581","5800 HILLEN RD","Asslt-Sec Degree || Common Assault"
"39.3461825117","-76.6082752375","500 E COLD SPRING LN","Reg Firearm:Illegal Possession || Hgv"
"39.3453834210","-76.6408833867","4600 FALLS RD","Theft Less Than $100.00 || Theft"
"39.3284271918","-76.5579786634","4400 MORAVIA RD","Asslt-Sec Degree || Common Assault"
"39.3223490347","-76.6844570624","4000 BONNER RD","Firearm Poss W/Fel Convict || Handgun Violation"
"39.3312257161","-76.6350531294","3600 FALLS RD","Theft Less Than $100.00 || Theft"
"39.3227922697","-76.5942498962","1600 ABBOTSTON ST","Theft Less Than $100.00 || Theft"
"39.3631555528","-76.6018144947","900 REVERDY RD","Burglary-Third Degree || Burglary"
"39.3005035099","-76.5977803733","900 N CAROLINE ST","Asslt-Sec Degree || Common Assault"
"39.3372756874","-76.6081342536","500 WYANOKE AVE","Asslt-Sec Degree || Assault"
"39.3297751474","-76.6089227498","500 E 34TH ST","Theft: Less $1,000 Value || Theft"
"39.3334013969","-76.5584938486","4800 BELAIR RD","Cds: Distr Etc. W/Firearm || Hgv"
"39.3363557902","-76.6062312933","3900 FRISBY ST","Asslt-Sec Degree || Assault"
"39.2955856173","-76.6803630166","3800 GELSTON DR","Reg Firearm:Illegal Possession || Hgv"
"39.3387420253","-76.6792425302","3800 DOLFIELD AVE","Asslt-Sec Degree || Agg Assault"
"39.3285983822","-76.6094706794","3300 GREENMOUNT AVE","Asslt-Sec Degree || 1St Degree Assault"
"39.2922557030","-76.5760795601","2900 E BALTIMORE ST","Handgun In Vehicle || Armed Robbery"
"39.2922557030","-76.5760795601","2900 E BALTIMORE ST","Robbery || Robbery"
"39.2922557030","-76.5760795601","2900 E BALTIMORE ST","Robbery || Armed Robbery"
"39.3128345814","-76.6421635169","2500 FRANCIS ST","Armed Robbery || Armed Robbery"
"39.3145070479","-76.6449545781","2300 N FULTON AVE","Asslt-Sec Degree || Agg Assault"
"39.3072450121","-76.7093782718","1900 N FOREST PARK AVE","Trespass-Posted Property || Handgun Violation"
"39.2740805921","-76.6276929303","1500 RUSSELL ST","Asslt-Sec Degree || Agg Assault"
"39.3103195075","-76.6370672730","1200 W NORTH AVE","Armed Robbery || Armed Robbery"
"39.2873541312","-76.6485856110","UNIT S PAYSON ST","Asslt-First Degree || 1St Degree Assault"
"39.2952595449","-76.6137031750","500 SAINT PAUL PL","Asslt-Sec Degree || Common Assault"
"39.2879170271","-76.5574039913","400 S MACON ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.3312257161","-76.6350531294","3600 FALLS RD","Asslt-Sec Degree || Assault"
"39.3276325657","-76.6093867361","3200 GREENMOUNT AVE","Asslt-Sec Degree || Assault On Police"
"39.3140230671","-76.6457818751","2800 WOODBROOK AVE","Reg Firearm:Illegal Possession || Hgv"
"39.3140230671","-76.6457818751","2800 WOODBROOK AVE","Firearm Poss W/Fel Convict || Hgv"
"39.3425026686","-76.5762748634","2800 MONTEBELLO TER","Asslt-Sec Degree || Robbery"
"39.3198360781","-76.6094324023","2600 GREENMOUNT AVE","Asslt-Sec Degree || Agg Assault"
"39.3407402786","-76.6586319601","2400 W COLD SPRING LN","Burglary-4Th Degree-Store || Commercial Burglary"
"39.3174250181","-76.6170004229","2400 N CHARLES ST","Asslt-Sec Degree || Agg Assault"
"39.2833425670","-76.6414829384","1500 RAMSAY ST","Asslt-Sec Degree || Common Assault"
"39.2911148178","-76.6308775051","800 W LEXINGTON ST","Asslt-Sec Degree || Burglary"
"39.3373442681","-76.6073767275","600 WYANOKE AVE","Asslt-Sec Degree || Common Assault"
"39.3398796306","-76.6629566759","4400 PALL MALL RD","Theft: Less $1,000 Value || Robbery"
"39.3359249385","-76.6670977281","4200 TOWANDA AVE","Hgv Use/Fel-Viol Crime || Handgun Violation"
"39.3153563818","-76.5767328293","3300 RAVENWOOD AVE","Asslt-Sec Degree || Common Assault"
"39.2463872516","-76.6376140727","3200 LILY AVE","Asslt-First Degree || Common Assault"
