"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","lon","lat"
"2 W 26TH ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-07T14:13:00.000","2015-05-21T14:13:00.000","CHARLES VILLAGE","15-00357204","MD","NEW","2015-05-07T14:13:00.000","21218",-76.617846,39.319529
"534 N CURLEY ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-07T14:07:39.000","2015-05-21T14:07:39.000","ELLWOOD PARK/MONUMENT","15-00357181","MD","NEW","2015-05-07T14:07:39.000","21205",-76.576033,39.2976529
"4400  NEWPORT AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-07T14:03:55.000","2015-05-21T14:03:55.000","MEDFIELD","15-00357165","MD","NEW","2015-05-07T14:03:55.000","21211",-76.6411181,39.3420147
"200  GUILFORD AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-30T22:59:49.000","2015-05-14T22:59:49.000","DOWNTOWN","15-00339721","MD","NEW","2015-04-30T22:59:49.000","21202",-76.6111063,39.2912972
"2800  ULMAN AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-27T17:41:02.000","2015-05-11T17:41:02.000","PARK CIRCLE","15-00328805","MD","NEW","2015-04-27T17:41:02.000","21215",-76.660879,39.328836
"912 W 36TH ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-24T13:10:00.000","2015-05-08T13:10:00.000","HAMPDEN","15-00321704","MD","NEW","2015-04-24T13:10:00.000","21211",-76.632121,39.3313782
"1616  DESOTO RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-22T12:28:51.000","2015-05-06T12:28:51.000","MORRELL PARK","15-00313875","MD","NEW","2015-04-22T12:28:51.000","21230",-76.657207,39.266157
"2001 E MONUMENT ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-22T12:23:17.000","2015-05-06T12:23:17.000","MIDDLE EAST","15-00313837","MD","NEW","2015-04-22T12:23:17.000","21205",-76.5894009,39.2983747
"824  BEAUMONT AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-22T12:19:19.000","2015-05-06T12:19:19.000","WINSTON-GOVANS","15-00313807","MD","NEW","2015-04-22T12:19:19.000","21212",-76.603008,39.351339
"EAST DR","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-22T12:09:48.000","2015-05-06T12:09:48.000","DRUID HILL PARK","15-00313754","MD","NEW","2015-04-22T12:09:48.000","21217",-76.638852,39.3200863
"ARGONNE DR","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-20T14:06:51.000","2015-05-04T14:06:51.000","HILLEN","15-00307572","MD","NEW","2015-04-20T14:06:51.000","21218",NA,NA
"300 N HAVEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-20T14:01:00.000","2015-05-04T14:01:00.000","BALTIMORE HIGHLANDS","15-00307540","MD","NEW","2015-04-20T14:01:00.000","21224",-76.5630059,39.2958009
"3501  ASIATIC AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-15T14:44:04.000","2015-04-29T14:44:04.000","FAIRFIELD AREA","15-00294759","MD","NEW","2015-04-15T14:44:04.000","21226",-76.5664321,39.2325984
"6000  ERDMAN AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-15T14:49:02.000","2015-04-29T14:49:02.000","PULASKI INDUSTRIAL AREA","15-00294799","MD","NEW","2015-04-15T14:49:02.000","21205",-76.5452481,39.30109
"3000 W NORTH AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-15T14:38:02.000","2015-04-29T14:38:02.000","WALBROOK","15-00294735","MD","NEW","2015-04-15T14:38:02.000","21216",-76.667712,39.309332
"EASTERN AVE & KANE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-14T10:36:30.000","2015-04-28T10:36:30.000","PULASKI INDUSTRIAL AREA","15-00289734","MD","NEW","2015-04-14T10:36:30.000","21224",-71.130511,41.68958
"5400  HARFORD RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-14T10:32:02.000","2015-04-28T10:32:02.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00289722","MD","NEW","2015-04-14T10:32:02.000","21214",-76.5625647,39.3514488
"W BALTIMORE ST & HILTON ALLEY ABINGTON","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-09T10:49:26.000","2015-04-23T10:49:26.000","CARROLL-SOUTH HILTON","15-00276687","MD","NEW","2015-04-09T10:49:26.000","21229",-88.1542236,41.3052771
"1800  MCHENRY ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-09T10:45:06.000","2015-04-23T10:45:06.000","CARROLLTON RIDGE","15-00276671","MD","NEW","2015-04-09T10:45:06.000","21223",-76.6450001,39.2843323
"700  GLENWOOD AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-06T14:46:50.000","2015-04-20T14:46:50.000","WOODBOURNE-MCCABE","15-00267175","MD","NEW","2015-04-06T14:46:50.000","21212",-76.606363,39.3537729
"7000  HARFORD RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-01T12:22:08.000","2015-04-15T12:22:08.000","NORTH HARFORD ROAD","15-00255280","MD","NEW","2015-04-01T12:22:08.000","21234",-76.549215,39.366942
"5000  CORDELIA AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-01T12:16:27.000","2015-04-15T12:16:27.000","LANGSTON HUGHES","15-00255236","MD","NEW","2015-04-01T12:16:27.000","21215",-76.679937,39.343993
"3500  GWYNNS FALLS PKWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-31T15:43:39.000","2015-04-14T15:43:39.000","GARWYN OAKS","15-00252989","MD","NEW","2015-03-31T15:43:39.000","21216",-76.6765847,39.3142702
"10 E LEE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-30T15:22:29.000","2015-04-13T15:22:29.000","OTTERBEIN","15-00249304","MD","NEW","2015-03-30T15:22:29.000","21202",-76.6143946,39.2823823
"N HAVEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-30T15:17:55.000","2015-04-13T15:17:55.000","ORANGEVILLE","15-00249276","MD","NEW","2015-03-30T15:17:55.000","21205",-76.5630432,39.2970532
"1800  EDISON HWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-30T15:13:53.000","2015-04-13T15:13:53.000","BEREA","15-00249254","MD","NEW","2015-03-30T15:13:53.000","21213",-76.573561,39.31262
"2815  HARLEM AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-30T15:07:07.000","2015-04-13T15:07:07.000","MOSHER","15-00249223","MD","NEW","2015-03-30T15:07:07.000","21216",-76.663478,39.295317
"SAINT PAUL ST &E FAYETTE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-27T15:27:25.000","2015-04-10T15:27:25.000","DOWNTOWN","15-00243778","MD","NEW","2015-03-27T15:27:25.000","21202",-90.741793,38.8614405
"2200 S HANOVER ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-26T20:12:57.000","2015-04-09T20:12:57.000","SPRING GARDEN INDUSTRIAL AREA","15-00241304","MD","NEW","2015-03-26T20:12:57.000","21230",-76.6147558,39.265122
"E FAYETTE ST & SAINT PAUL ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-23T18:43:22.000","2015-04-06T18:43:22.000","DOWNTOWN","15-00229706","MD","NEW","2015-03-23T18:43:22.000","21202",-79.722638,39.8973136
"1800  GREENMOUNT AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-21T00:31:20.000","2015-04-04T00:31:20.000","GREENMOUNT WEST","15-00224143","MD","NEW","2015-03-21T00:31:20.000","21202",-76.6094908,39.3113376
"1800 E BALTIMORE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-20T16:58:17.000","2015-04-03T16:58:17.000","WASHINGTON HILL","15-00223005","MD","NEW","2015-03-20T16:58:17.000","21231",-76.591637,39.291823
"1831 E BALTIMORE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-20T15:55:20.000","2015-04-03T15:55:20.000","WASHINGTON HILL","15-00222773","MD","NEW","2015-03-20T15:55:20.000","21231",-76.5906916,39.2915698
"3501  ASIATIC AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-19T10:45:45.000","2015-04-02T10:45:45.000","FAIRFIELD AREA","15-00217683","MD","NEW","2015-03-19T10:45:45.000","21226",-76.5664321,39.2325984
"2840  SISSON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:23:56.000","2015-03-31T11:23:56.000","JONES FALLS AREA","15-00209819","MD","NEW","2015-03-17T11:23:56.000","21211",-76.6261777,39.320078
"HILLEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:28:24.000","2015-03-31T11:28:24.000","PENN-FALLSWAY","15-00209866","MD","NEW","2015-03-17T11:28:24.000","21202",-76.6068723,39.2958938
"200 E NORTH AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:19:22.000","2015-03-31T11:19:22.000","BARCLAY","15-00209762","MD","NEW","2015-03-17T11:19:22.000","21202",-76.6132357,39.312022
"800 E COLD SPRING LN","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:13:06.000","2015-03-31T11:13:06.000","RICHNOR SPRINGS","15-00209683","MD","NEW","2015-03-17T11:13:06.000","21212",-76.604836,39.3459586
"S WOLFE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:07:44.000","2015-03-31T11:07:44.000","WASHINGTON HILL","15-00209638","MD","NEW","2015-03-17T11:07:44.000","21231",-76.5901235,39.2862759
"1100  HILLEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-16T21:57:39.000","2015-03-30T21:57:39.000","OLDTOWN","15-00209097","MD","NEW","2015-03-16T21:57:39.000","21202",-76.605377,39.29755
"921 E FORT AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-13T15:48:31.000","2015-03-27T15:48:31.000","LOCUST POINT INDUSTRIAL AREA","15-00200300","MD","NEW","2015-03-13T15:48:31.000","21230",-76.6010954,39.2708308
"4101  PULASKI HWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-09T11:56:19.000","2015-03-23T11:56:19.000","KRESSON","15-00181044","MD","NEW","2015-03-09T11:56:19.000","21224",-76.562558,39.296801
"3825  MARY AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-06T11:15:14.000","2015-03-20T11:15:14.000","GLENHAM-BELFORD","15-00172565","MD","NEW","2015-03-06T11:15:14.000","21206",-76.545976,39.347448
"4500  WESTCHESTER RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-06T11:11:06.000","2015-03-20T11:11:06.000","WINDSOR HILLS","15-00172530","MD","NEW","2015-03-06T11:11:06.000","21216",-76.690879,39.3181269
"405  MCMECHEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-06T11:05:29.000","2015-03-20T11:05:29.000","MADISON PARK","15-00172493","MD","NEW","2015-03-06T11:05:29.000","21217",-76.6301609,39.3047967
