"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
"Dispatch Work Crew","2726  LAURETTA AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2014-12-12T00:15:04.000","2015-01-02T00:15:04.000","ROSEMONT HOMEOWNERS/TENANTS","14-00927842","MD","CLOSED","2015-02-24T13:13:24.000","2014-12-15T11:36:00.000","21223",NA,-76.6622239,39.2939874
"Cityworks SR Comments","718  GRUNDY ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-30T20:08:16.000","2015-02-20T20:08:16.000","BREWERS HILL","15-00070727","MD","CLOSED","2015-02-03T12:44:54.000","2015-01-30T21:13:40.000","21224","UPDATED",-76.5633933,39.2840594
"Cityworks SR Comments","2200  SAINT PAUL ST","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-10-02T23:58:08.000","2014-10-23T23:58:08.000","BARCLAY","14-00745254","MD","CLOSED","2014-11-06T13:07:45.000","2014-10-03T01:00:12.000","21218","UPDATED",-76.615617,39.314577
"Dispatch Work Crew","4500  SCARLET OAK LN","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-29T21:29:13.000","2015-04-19T21:29:13.000","UPLANDS","15-00247470","MD","CLOSED","2015-04-01T11:49:49.000","2015-04-01T11:49:00.000","21229",NA,-76.6923719,39.2913525
"Dispatch Work Crew","1401  ROLAND HEIGHTS AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-06T17:27:04.000","2015-03-27T17:27:04.000","MEDFIELD","15-00174843","MD","CLOSED","2015-05-01T12:14:17.000","2015-03-10T11:19:00.000","21211",NA,-76.64165,39.339623
"Dispatch Work Crew","205 E 30TH ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-30T16:46:27.000","2015-02-20T16:46:27.000","CHARLES VILLAGE","15-00069996","MD","CLOSED","2015-03-26T12:17:20.000","2015-02-03T11:40:00.000","21218",NA,-76.6142693,39.3244227
NA,"5600  LOCH RAVEN BLVD","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-17T18:53:07.000","2015-04-07T18:53:07.000","WOODBOURNE HEIGHTS","15-00213112","MD","CLOSED","2015-04-21T12:33:34.000",NA,"21239",NA,-76.590271,39.357859
"Dispatch Work Crew","3800  STOKES DR","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-06-29T14:21:07.000","2015-07-20T14:21:07.000","GWYNNS FALLS/LEAKIN PARK","15-00507565","MD","CLOSED","2015-07-20T12:16:22.000","2015-07-01T11:38:00.000","21229",NA,-76.6798531,39.2996899
"Dispatch Work Crew","2700  LIBERTY HEIGHTS AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2014-12-09T19:47:55.000","2014-12-30T19:47:55.000","LIBERTY SQUARE","14-00921818","MD","CLOSED","2015-02-09T12:01:37.000","2014-12-11T12:34:00.000","21215",NA,-76.6595527,39.3206336
"Dispatch Work Crew","3800  STOKES DR","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-05-29T17:41:51.000","2015-06-19T17:41:51.000","GWYNNS FALLS/LEAKIN PARK","15-00421101","MD","O-WIP","2015-06-22T18:10:31.000","2015-06-05T12:29:00.000","21229",NA,-76.6798531,39.2996899
"Dispatch Work Crew","3805  EDGEWOOD RD","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-12T13:26:07.000","2015-02-02T13:26:07.000","ASHBURTON","15-00024827","MD","CLOSED","2015-03-13T11:45:47.000","2015-01-20T12:15:00.000","21215",NA,-76.671572,39.330618
"Dispatch Work Crew","W SARATOGA ST &N SCHROEDER ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-24T17:21:02.000","2015-04-14T17:21:02.000","POPPLETON","15-00233046","MD","CLOSED","2015-05-26T11:46:04.000","2015-03-26T11:11:00.000","21223",NA,NA,NA
"Cityworks SR Comments","JANICE AVE & MARBOURNE AVE","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-09-22T13:19:19.000","2014-10-13T13:19:19.000","LAKELAND","14-00714100","MD","CLOSED","2014-09-24T13:00:12.000","2014-09-22T13:45:22.000","21230","UPDATED",-118.209849,35.565619
"Cityworks SR Comments","S HANOVER ST & CHESAPEAKE AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-04-29T15:22:13.000","2015-05-20T15:22:13.000","BROOKLYN","15-00334648","MD","CLOSED","2015-06-09T11:58:00.000","2015-04-29T15:36:14.000","21225","UPDATED",-73.1663411,44.4727628
"Cityworks SR Comments","1408 N GAY ST","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-09-25T03:26:36.000","2014-10-16T03:26:36.000","BROADWAY EAST","14-00723128","MD","CLOSED","2014-10-22T13:08:27.000","2014-09-25T04:24:34.000","21213","UPDATED",-76.5911897,39.3067915
"Dispatch Work Crew","WABASH AVE & PATTERSON AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-19T12:20:24.000","2015-02-09T12:20:24.000","SETON BUSINESS PARK","15-00040181","MD","CLOSED","2015-02-10T12:04:58.000","2015-01-22T12:22:00.000","21215",NA,-87.3133604,39.4833563
"Dispatch Work Crew","1301 W 42ND ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-16T18:42:47.000","2015-04-06T18:42:47.000","MEDFIELD","15-00208110","MD","CLOSED","2015-04-17T13:03:47.000","2015-03-18T11:49:00.000","21211",NA,-76.639303,39.338451
