"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"1730  BYRD ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-10T02:16:04.000","2015-05-11T02:16:04.000","RIVERSIDE","15-00365256","MD","DUPCLOSD","2015-05-10T02:16:04.000","21230",NA,NA,NA,-76.6108125,39.2700796
"201 W MONUMENT ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-09T02:12:02.000","2015-05-10T02:12:02.000","MOUNT VERNON","15-00362810","MD","DUPCLOSD","2015-05-09T02:12:02.000","21201",NA,NA,NA,-76.619012,39.296862
"641  WASHINGTON BLVD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-08T23:28:18.000","2015-05-09T23:28:18.000","RIDGELY'S DELIGHT","15-00362566","MD","DUPCLOSD","2015-05-08T23:28:18.000","21230",NA,NA,NA,-76.624514,39.284011
"652  WASHINGTON BLVD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-08T23:28:11.000","2015-05-09T23:28:11.000","RIDGELY'S DELIGHT","15-00362564","MD","DUPCLOSD","2015-05-08T23:28:11.000","21230",NA,NA,NA,-76.62499,39.284376
"2468  LAKEVIEW AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-06T02:38:22.000","2015-05-07T02:38:22.000","RESERVOIR HILL","15-00352253","MD","DUPCLOSD","2015-05-06T02:38:22.000","21217",NA,NA,NA,-76.632977,39.316319
"3301  EASTERN AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-04T23:28:40.000","2015-05-05T23:28:40.000","CANTON","15-00348558","MD","DUPCLOSD","2015-05-04T23:28:40.000","21224",NA,NA,NA,-76.569773,39.286314
"3241  EASTERN AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-04T23:28:35.000","2015-05-05T23:28:35.000","CANTON","15-00348557","MD","DUPCLOSD","2015-05-04T23:28:35.000","21224",NA,NA,NA,-76.570157,39.286255
"614 S HANOVER ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-30T23:45:23.000","2015-05-01T23:45:23.000","OTTERBEIN","15-00339794","MD","DUPCLOSD","2015-04-30T23:45:23.000","21230",NA,NA,NA,-76.616139,39.28161
"612  PUBPED WAY","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-30T23:45:19.000","2015-05-01T23:45:19.000","OTTERBEIN","15-00339793","MD","DUPCLOSD","2015-04-30T23:45:19.000","21230",NA,NA,NA,-76.6169866,39.2814184
"108 W HILL ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-30T23:43:15.000","2015-05-01T23:43:15.000","OTTERBEIN","15-00339791","MD","DUPCLOSD","2015-04-30T23:43:15.000","21230",NA,NA,NA,-76.6163289,39.281163
"3204  HAYWARD AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-15T21:16:29.000","2015-04-16T21:16:29.000","PIMLICO GOOD NEIGHBORS","15-00296717","MD","DUPCLOSD","2015-04-15T21:16:29.000","21215",NA,NA,NA,-76.6769015,39.3515225
"4500  SCARLET OAK LN","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-14T00:59:16.000","2015-04-15T00:59:16.000","UPLANDS","15-00289597","MD","DUPCLOSD","2015-04-14T00:59:16.000","21229",NA,NA,NA,-76.6923719,39.2913525
"2922  HUDSON ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-12T23:01:22.000","2015-04-13T23:01:22.000","CANTON","15-00285320","MD","DUPCLOSD","2015-04-12T23:01:22.000","21224",NA,NA,NA,-76.574764,39.282447
"827 S CURLEY ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-12T23:01:19.000","2015-04-13T23:01:19.000","CANTON","15-00285319","MD","DUPCLOSD","2015-04-12T23:01:19.000","21224",NA,NA,NA,-76.5746831,39.282585
"401 W REDWOOD ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-09T20:26:37.000","2015-04-10T20:26:37.000","DOWNTOWN","15-00279317","MD","DUPCLOSD","2015-04-14T16:22:45.000","21201",NA,NA,NA,-76.6213005,39.2884059
"1301 N CHARLES ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-09T09:04:50.000","2015-04-10T09:04:50.000","MID-TOWN BELVEDERE","15-00276593","MD","DUPCLOSD","2015-04-09T09:04:50.000","21201",NA,NA,NA,-76.6159875,39.3047237
"1312  BERRY ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-31T10:42:47.000","2015-04-01T10:42:47.000","HAMPDEN","15-00251420","MD","DUPCLOSD","2015-04-29T15:03:54.000","21211",NA,NA,NA,-76.637561,39.331641
"700 W BALTIMORE ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-30T16:54:58.000","2015-03-31T16:54:58.000","POPPLETON","15-00249814","MD","DUPCLOSD","2015-03-31T12:23:57.000","21201",NA,NA,NA,-76.6268033,39.2890841
"N LINWOOD AVE &E FAYETTE ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-30T16:09:23.000","2015-03-31T16:09:23.000","ELLWOOD PARK/MONUMENT","15-00249526","MD","DUPCLOSD","2015-03-31T11:30:43.000","21224",NA,NA,NA,-96.748712,36.0142419
"1321  DECATUR ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-30T00:09:35.000","2015-03-31T00:09:35.000","LOCUST POINT","15-00247644","MD","DUPCLOSD","2015-03-30T00:09:35.000","21230",NA,NA,NA,-76.593602,39.271473
"1301  DECATUR ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-30T00:07:46.000","2015-03-31T00:07:46.000","LOCUST POINT","15-00247641","MD","DUPCLOSD","2015-03-30T00:07:46.000","21230",NA,NA,NA,-76.593385,39.271856
"3305  ELGIN AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-22T07:10:03.000","2015-03-23T07:10:03.000","WALBROOK","15-00226434","MD","DUPCLOSD","2015-03-22T07:10:03.000","21216",NA,NA,NA,-76.6732679,39.31284
"3237  EASTERN AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-20T01:46:10.000","2015-03-21T01:46:10.000","CANTON","15-00221372","MD","DUPCLOSD","2015-03-20T01:46:10.000","21224",NA,NA,NA,-76.5702774,39.2863014
"3201  EASTERN AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-20T01:44:11.000","2015-03-21T01:44:11.000","CANTON","15-00221371","MD","DUPCLOSD","2015-03-20T01:44:11.000","21224",NA,NA,NA,-76.5713641,39.286228
"3400  WOODBROOK AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-19T12:47:57.000","2015-03-20T12:47:57.000","PARKVIEW/WOODBROOK","15-00218253","MD","DUPCLOSD","2015-03-19T12:47:57.000","21217",NA,NA,NA,-76.650435,39.317579
"5464  BUCKNELL RD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-18T17:31:50.000","2015-03-19T17:31:50.000","CEDONIA","15-00216287","MD","DUPCLOSD","2015-03-18T17:31:50.000","21206",NA,NA,NA,-76.534209,39.334009
"101 S ANN ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-16T18:17:13.000","2015-03-17T18:17:13.000","UPPER FELLS POINT","15-00207806","MD","DUPCLOSD","2015-03-19T14:16:30.000","21231",NA,NA,NA,-76.59141,39.290193
"250 W LAFAYETTE AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-12T00:44:18.000","2015-03-13T00:44:18.000","BOLTON HILL","15-00193207","MD","DUPCLOSD","2015-03-13T19:00:48.000","21217",NA,NA,NA,-76.62651,39.30582
"2656  NORLAND RD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-12T01:57:31.000","2015-03-13T01:57:31.000","LAKELAND","15-00193300","MD","DUPCLOSD","2015-03-12T01:57:31.000","21230",NA,NA,NA,-76.644471,39.251727
"718 S MILTON AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-11T23:14:06.000","2015-03-12T23:14:06.000","CANTON","15-00193075","MD","DUPCLOSD","2015-03-11T23:14:06.000","21224",NA,NA,NA,-76.581555,39.283425
"129 W LANVALE ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-10T23:45:14.000","2015-03-11T23:45:14.000","BOLTON HILL","15-00188730","MD","DUPCLOSD","2015-03-10T23:45:14.000","21217",NA,NA,NA,-76.621719,39.306767
"3418  EASTERN AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-09T23:55:53.000","2015-03-10T23:55:53.000","HIGHLANDTOWN","15-00184516","MD","DUPCLOSD","2015-03-09T23:55:53.000","21224",NA,NA,NA,-76.568404,39.28685
"931 S ELLWOOD AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-09T09:03:59.000","2015-03-10T09:03:59.000","CANTON","15-00180227","MD","DUPCLOSD","2015-03-09T09:03:59.000","21224",NA,NA,NA,-76.572389,39.281629
"6008  BAYWOOD AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-08T00:40:49.000","2015-03-09T00:40:49.000","CHESWOLDE","15-00178499","MD","DUPCLOSD","2015-03-08T00:40:49.000","21209",NA,NA,NA,-76.68395,39.362958
"E BALTIMORE ST &S BROADWAY","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-03T21:46:51.000","2015-03-04T21:46:51.000","WASHINGTON HILL","15-00164471","MD","CLOSED","2015-03-13T15:32:11.000","21231",NA,NA,NA,-88.1392461,41.3101454
"600 N BELNORD AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-03T16:15:00.000","2015-03-04T16:15:00.000","MCELDERRY PARK","15-00163396","MD","DUPCLOSD","2015-03-03T16:15:00.000","21205",NA,NA,NA,-76.5788522,39.2979796
"1409  JORDAN ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-02T23:16:26.000","2015-03-03T23:16:26.000","BOLTON HILL","15-00161568","MD","DUPCLOSD","2015-03-02T23:16:26.000","21217",NA,NA,NA,-76.6268616,39.3056826
"400 S CLINTON ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-03T01:24:00.000","2015-03-04T01:24:00.000","HIGHLANDTOWN","15-00161728","MD","DUPCLOSD","2015-03-03T01:24:00.000","21224",NA,NA,NA,-76.570297,39.287391
