"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"3900  SINCLAIR LN","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-05-08T17:04:12.000","2015-05-09T17:04:12.000","BELAIR-EDISON","15-00361178","MD","OPEN","2015-05-11T12:18:04.000","21213",NA,NA,NA,-76.5593038,39.315314
"2229 N CHARLES ST","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-05-08T11:33:01.000","2015-05-09T11:33:01.000","CHARLES VILLAGE","15-00359574","MD","CLOSED","2015-05-08T11:33:17.000","21218",NA,NA,NA,-76.6165181,39.3151561
"2330 N MONROE ST","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-05-06T15:55:19.000","2015-05-07T15:55:19.000","MONDAWMIN","15-00354453","MD","CLOSED","2015-05-11T16:59:50.000","21217","Dispatch Work Crew","Removed broken branch","2015-05-11T16:59:00.000",-76.64974,39.314611
"3000  HUNTINGDON AVE","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-05-04T22:43:21.000","2015-05-05T22:43:21.000","REMINGTON","15-00348488","MD","CLOSED","2015-05-06T13:05:04.000","21211","Dispatch Work Crew","Duplicate request","2015-05-06T13:04:00.000",-76.624576,39.322508
"E 33RD ST & GREENMOUNT AVE","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-05-04T11:08:47.000","2015-05-05T11:08:47.000","ABELL","15-00345215","MD","CLOSED","2015-05-05T12:58:50.000","21218","Dispatch Work Crew","Removed broken branch","2015-05-05T12:58:00.000",-97.4291472,35.6237229
"100 W 39TH ST","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-05-04T09:59:26.000","2015-05-05T09:59:26.000","TUSCANY-CANTERBURY","15-00345106","MD","CLOSED","2015-05-05T12:57:02.000","21210","Dispatch Work Crew","Removed broken branch","2015-05-05T12:56:00.000",-76.620767,39.336167
"328 E 33RD ST","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-05-03T15:18:11.000","2015-05-04T15:18:11.000","OAKENSHAWE","15-00344360","MD","CLOSED","2015-05-05T12:59:43.000","21218","Dispatch Work Crew","Removed broken branch","2015-05-05T12:59:00.000",-76.612427,39.3285849
"229 S CHESTER ST","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-30T17:44:16.000","2015-05-01T17:44:16.000","UPPER FELLS POINT","15-00338730","MD","CLOSED","2015-05-06T13:02:54.000","21231","Dispatch Work Crew","No Cause For Action","2015-05-06T13:02:00.000",-76.586939,39.288445
"4802  COLEHERNE RD","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-30T13:19:51.000","2015-05-01T13:19:51.000","HUNTING RIDGE","15-00337607","MD","CLOSED","2015-05-04T12:33:01.000","21229","Dispatch Work Crew","Removed broken branch","2015-05-04T12:32:00.000",-76.701633,39.294069
"1410  STONEWOOD RD","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-30T10:22:34.000","2015-05-01T10:22:34.000","NEW NORTHWOOD","15-00336841","MD","CLOSED","2015-05-01T12:31:36.000","21239","Dispatch Work Crew","No Cause For Action","2015-05-01T12:30:00.000",-76.5934222,39.3498112
"1720  JOHNSON ST","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-27T14:28:50.000","2015-04-28T14:28:50.000","RIVERSIDE","15-00327727","MD","CLOSED","2015-05-01T12:25:42.000","21230","Dispatch Work Crew","Removed broken branch","2015-05-01T12:24:00.000",-76.6095689,39.2702219
"1615 E 32ND ST","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-27T11:01:30.000","2015-04-28T11:01:30.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00326315","MD","CLOSED","2015-04-28T15:51:51.000","21218","Dispatch Work Crew","Removed broken branch","2015-04-28T15:51:00.000",-76.592979,39.326589
"717  HOLLEN RD","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-23T16:24:31.000","2015-04-24T16:24:31.000","LAKE WALKER","15-00319661","MD","CLOSED","2015-04-27T13:06:17.000","21212","Dispatch Work Crew","Removed broken branch","2015-04-27T13:05:00.000",-76.604279,39.369959
"2330 N MONROE ST","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-22T18:24:05.000","2015-04-23T18:24:05.000","MONDAWMIN","15-00316304","MD","OPEN","2015-04-22T18:49:33.000","21217",NA,NA,NA,-76.64974,39.314611
"2702  LYNDHURST AVE","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-22T16:50:46.000","2015-04-23T16:50:46.000","WINDSOR HILLS","15-00315642","MD","CLOSED","2015-04-22T19:52:08.000","21216","Dispatch Inspector","No Cause For Action","2015-04-22T19:51:00.000",-76.6846565,39.3170094
"3836  ELM AVE","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-22T16:16:35.000","2015-04-23T16:16:35.000","HAMPDEN","15-00315451","MD","CLOSED","2015-04-22T20:11:40.000","21211","Dispatch Inspector","No Cause For Action","2015-04-22T19:57:00.000",-76.631766,39.3352549
"1008  LENTON AVE","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2015-04-22T12:54:43.000","2015-04-23T12:54:43.000","CHINQUAPIN PARK-BELVEDERE","15-00314117","MD","CLOSED","2015-04-27T12:32:31.000","21212","Dispatch Work Crew","Removed broken branch","2015-04-27T12:31:00.000",-76.5998024,39.3632108
