"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Dispatch Work Crew","1301 S CLINTON ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-09T18:42:43.000","2015-05-10T18:42:43.000","CANTON","Removed entire limb","15-00364894","MD","CLOSED","2015-05-11T17:15:51.000","2015-05-11T17:15:00.000","21224",-76.569188,39.278278
"Dispatch Work Crew","CALVERTON HEIGHTS AVE &N WARWICK AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-07T22:48:39.000","2015-05-08T22:48:39.000","BRIDGEVIEW/GREENLAWN","Removed entire limb","15-00359045","MD","CLOSED","2015-05-11T16:57:15.000","2015-05-11T16:56:00.000","21216",-76.6562131,39.2976632
"Dispatch Work Crew","2816 W STRATHMORE AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-06T19:34:09.000","2015-05-07T19:34:09.000","CHESWOLDE","No Cause For Action","15-00355480","MD","CLOSED","2015-05-11T15:12:02.000","2015-05-11T15:11:00.000","21209",-76.68484,39.365845
"Dispatch Work Crew","622 W 33RD ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-06T12:59:22.000","2015-05-07T12:59:22.000","WYMAN PARK","Removed entire limb","15-00353499","MD","CLOSED","2015-05-06T12:59:51.000","2015-05-06T12:59:00.000","21211",-76.627182,39.32732
"Dispatch Work Crew","3705 S HANOVER ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-06T10:42:04.000","2015-05-07T10:42:04.000","BROOKLYN","Removed entire limb","15-00352742","MD","CLOSED","2015-05-07T18:56:07.000","2015-05-07T18:55:00.000","21225",-76.609888,39.237201
"Dispatch Inspector","3935  KESWICK RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-05T16:48:37.000","2015-05-06T16:48:37.000","ROLAND PARK","No Cause For Action","15-00350463","MD","CLOSED","2015-05-07T12:55:43.000","2015-05-07T12:55:00.000","21211",-76.628077,39.336491
NA,"3200  TOONE ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-05T15:07:20.000","2015-05-06T15:07:20.000","CANTON",NA,"15-00350085","MD","DUPCLOSD","2015-05-06T13:07:13.000",NA,"21224",-76.5708293,39.2784858
"Dispatch Work Crew","3200  TOONE ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-05T14:54:59.000","2015-05-06T14:54:59.000","CANTON","Removed entire limb","15-00350034","MD","CLOSED","2015-05-06T13:07:13.000","2015-05-06T13:06:00.000","21224",-76.5708293,39.2784858
"Dispatch Work Crew","5811  PIMLICO RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-05T00:36:48.000","2015-05-06T00:36:48.000","MOUNT WASHINGTON","Cleared road only","15-00348627","MD","CLOSED","2015-05-06T12:44:11.000","2015-05-06T12:43:00.000","21209",-76.671839,39.36328
"Dispatch Work Crew","3000  HUNTINGDON AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-05T00:24:25.000","2015-05-06T00:24:25.000","REMINGTON","Duplicate request","15-00348615","MD","CLOSED","2015-05-06T13:06:06.000","2015-05-06T13:05:00.000","21211",-76.624576,39.322508
