"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Dispatch Work Crew","1600  KELLY AVE","BALTIMORE","FTRH","Forestry Blocked Traffic Sign / Light","2015-05-05T13:59:35.000","2015-05-19T13:59:35.000","MOUNT WASHINGTON","Tree pruned","15-00349747","MD","CLOSED","2015-05-08T13:09:13.000","2015-05-08T12:58:00.000","21209",-76.6518609,39.3669281
"Dispatch Work Crew","2331  PICKWICK RD","BALTIMORE","FTRH","Forestry Blocked Traffic Sign / Light","2015-03-17T13:42:11.000","2015-03-31T13:42:11.000","DICKEYVILLE","Tree pruned","15-00210969","MD","CLOSED","2015-05-06T14:40:54.000","2015-05-06T14:40:00.000","21207",-76.703977,39.315252
NA,"WINDSOR MILL RD &N FOREST PARK AVE","BALTIMORE","FTRH","Forestry Blocked Traffic Sign / Light","2015-02-15T08:21:19.000","2015-03-01T08:21:19.000","WAKEFIELD",NA,"15-00107474","MD","NEW","2015-02-15T08:21:19.000",NA,"21207",-72.3750834,43.5193237
"Dispatch Inspector","524 S BROADWAY","BALTIMORE CITY","FTRH","Forestry Blocked Traffic Sign / Light","2014-11-03T15:41:30.000","2014-11-17T15:41:30.000","FELLS POINT","Tree recently pruned","14-00827282","MD","CLOSED","2014-12-08T18:59:09.000","2014-12-08T18:58:00.000","21231",-76.5939893,39.2847128
NA,"522 S BROADWAY","BALTIMORE CITY","FTRH","Forestry Blocked Traffic Sign / Light","2014-11-03T15:41:28.000","2014-11-17T15:41:28.000","FELLS POINT",NA,"14-00827281","MD","OPEN","2014-11-03T22:31:50.000",NA,"21231",-76.593844,39.284818
"Dispatch Work Crew","428 S BROADWAY","BALTIMORE CITY","FTRH","Forestry Blocked Traffic Sign / Light","2014-11-03T15:41:22.000","2014-11-17T15:41:22.000","FELLS POINT","Tree recently pruned","14-00827279","MD","CLOSED","2014-12-08T19:00:00.000","2014-12-08T18:59:00.000","21231",-76.593879,39.285792
"Dispatch Inspector","MCCULLOH ST & BLOOM ST","BALTIMORE CITY","FTRH","Forestry Blocked Traffic Sign / Light","2014-10-17T17:54:20.000","2014-10-31T17:54:20.000","DRUID HEIGHTS","Tree recently pruned","14-00783804","MD","CLOSED","2014-12-08T18:58:26.000","2014-12-08T18:57:00.000","21217",-76.6346118,39.3080473
"Dispatch Work Crew","N WARWICK AVE &W LAFAYETTE AVE","BALTIMORE CITY","FTRH","Forestry Blocked Traffic Sign / Light","2014-10-17T14:47:52.000","2014-10-31T14:47:52.000","BRIDGEVIEW/GREENLAWN","Tree pruned","14-00783115","MD","CLOSED","2014-11-03T15:36:27.000","2014-11-03T15:36:00.000","21216",-87.5110472,41.6828379
"Dispatch Inspector","ERDMAN AVE & PULASKI HWY","BALTIMORE CITY","FTRH","Forestry Blocked Traffic Sign / Light","2014-10-07T15:51:53.000","2014-10-21T15:51:53.000","ARMISTEAD GARDENS","No Cause For Action","14-00755822","MD","CLOSED","2014-11-18T14:17:20.000","2014-11-18T14:17:00.000","21205",-76.5621044,39.308984
"Dispatch Inspector","3700  ERDMAN AVE","BALTIMORE CITY","FTRH","Forestry Blocked Traffic Sign / Light","2014-10-06T10:40:25.000","2014-10-20T10:40:25.000","BELAIR-EDISON","No Cause For Action","14-00750764","MD","CLOSED","2014-11-24T12:58:48.000","2014-11-24T12:58:00.000","21213",-76.5689,39.316387
