"UniqueID","StreetAddress","City","State","ZIP","i"
1,"FALLS RD & I 83 S","BALTIMORE","Maryland","21211",1
2,"4207 OLD YORK RD","BALTIMORE","Maryland","21212",1
3,"4501 UNDERWOOD RD","BALTIMORE","Maryland","21212",1
4,"318 KERNEWAY","BALTIMORE","Maryland","21212",1
5,"309 KERNEWAY","BALTIMORE","Maryland","21212",1
6,"302 KERNEWAY","BALTIMORE","Maryland","21212",1
7,"MARTINGALE AVE & ADELLE TER","BALTIMORE","Maryland","21229",1
8,"3921 W ROGERS AVE","BALTIMORE","Maryland","21215",1
9,"REVERDY RD & NORTHWOOD DR","BALTIMORE","Maryland","21212",1
10,"LIBERTY HEIGHTS AVE & CALLAWAY AVE","BALTIMORE","Maryland","21215",1
11,"4500 MARBLE HALL RD","BALTIMORE","Maryland","21239",1
12,"4600 MARBLE HALL RD","BALTIMORE","Maryland","21239",1
13,"PERRING PKWY &E BELVEDERE AVE","BALTIMORE","Maryland","21239",1
14,"3300 BOSTON ST","BALTIMORE","Maryland","21224",1
15,"3009 GWYNNS FALLS PKWY","BALTIMORE","Maryland","21216",1
16,"DUNDALK AVE & HOLABIRD AVE","BALTIMORE","Maryland","21224",1
17,"5600 THE ALAMEDA","BALTIMORE","Maryland","21239",1
18,"5100 HOLABIRD AVE","BALTIMORE","Maryland","21224",1
19,"WABASH AVE &N ROGERS AVE","BALTIMORE","Maryland","21215",1
20,"N HAVEN ST &E BALTIMORE ST","BALTIMORE","Maryland","21224",1
21,"346 OLDHAM ST","BALTIMORE","Maryland","21224",1
22,"LOVEGROVE ST &E 31ST ST","BALTIMORE","Maryland","21218",1
23,"2700 MCELDERRY ST","BALTIMORE","Maryland","21205",1
24,"743 N CHESTER ST","BALTIMORE","Maryland","21205",1
25,"2800 GWYNNS FALLS PKWY","BALTIMORE","Maryland","21216",1
26,"MCCLEAN BLVD &E NORTHERN PKWY","BALTIMORE","Maryland","21214",1
27,"3512 MARY AVE","BALTIMORE","Maryland","21214",1
28,"5813 MORAVIA RD","BALTIMORE","Maryland","21206",1
29,"1419 BOLTON ST","BALTIMORE","Maryland","21217",1
30,"3500 EVERGREEN AVE","BALTIMORE","Maryland","21214",1
31,"800 W FAYETTE ST","BALTIMORE","Maryland","21201",1
32,"3400 W MULBERRY ST","BALTIMORE","Maryland","21229",1
33,"100 N BROADWAY","BALTIMORE","Maryland","21231",1
34,"2700 BROENING HWY","BALTIMORE","Maryland","21222",1
35,"11 S EUTAW ST","BALTIMORE","Maryland","21201",1
36,"544 EISLEN ST","BALTIMORE","Maryland","21230",1
37,"311 TAPLOW RD","BALTIMORE","Maryland","21212",1
38,"127 S CASTLE ST","BALTIMORE","Maryland","21231",1
39,"4203 WILLSHIRE AVE","BALTIMORE","Maryland","21206",1
40,"INTERSTATE AVE & O'DONNELL ST CUT OFF","BALTIMORE","Maryland","21224",1
41,"S BRUCE ST & MCHENRY ST","BALTIMORE","Maryland","21223",1
42,"S BRUCE ST & RAMSAY ST","BALTIMORE","Maryland","21223",1
43,"300 S BRUCE ST","BALTIMORE","Maryland","21223",1
44,"3723 RIDGECROFT RD","BALTIMORE","Maryland","21206",1
45,"5300 CEDONIA AVE","BALTIMORE","Maryland","21206",1
46,"1313 BROENING HWY","BALTIMORE","Maryland","21224",1
47,"5100 SINCLAIR LN","BALTIMORE","Maryland","21206",1
48,"3827 SAINT VICTOR ST","BALTIMORE","Maryland","21225",1
49,"3838 SINCLAIR LN","BALTIMORE","Maryland","21213",1
50,"6310 COVE AVE","BALTIMORE","Maryland","21226",1
51,"6300 ARUNDEL COVE AVE","BALTIMORE","Maryland","21226",1
52,"1500 DUNDALK AVE","BALTIMORE","Maryland","21222",1
