"UniqueID","StreetAddress","City","State","ZIP"
1,"FALLS RD & I 83 S","BALTIMORE","Maryland","21211"
2,"4207 OLD YORK RD","BALTIMORE","Maryland","21212"
3,"4501 UNDERWOOD RD","BALTIMORE","Maryland","21212"
4,"318 KERNEWAY","BALTIMORE","Maryland","21212"
5,"309 KERNEWAY","BALTIMORE","Maryland","21212"
6,"302 KERNEWAY","BALTIMORE","Maryland","21212"
7,"MARTINGALE AVE & ADELLE TER","BALTIMORE","Maryland","21229"
8,"3921 W ROGERS AVE","BALTIMORE","Maryland","21215"
9,"REVERDY RD & NORTHWOOD DR","BALTIMORE","Maryland","21212"
10,"LIBERTY HEIGHTS AVE & CALLAWAY AVE","BALTIMORE","Maryland","21215"
11,"4500 MARBLE HALL RD","BALTIMORE","Maryland","21239"
12,"4600 MARBLE HALL RD","BALTIMORE","Maryland","21239"
13,"PERRING PKWY &E BELVEDERE AVE","BALTIMORE","Maryland","21239"
14,"3300 BOSTON ST","BALTIMORE","Maryland","21224"
15,"3009 GWYNNS FALLS PKWY","BALTIMORE","Maryland","21216"
16,"DUNDALK AVE & HOLABIRD AVE","BALTIMORE","Maryland","21224"
17,"5600 THE ALAMEDA","BALTIMORE","Maryland","21239"
18,"5100 HOLABIRD AVE","BALTIMORE","Maryland","21224"
19,"WABASH AVE &N ROGERS AVE","BALTIMORE","Maryland","21215"
20,"N HAVEN ST &E BALTIMORE ST","BALTIMORE","Maryland","21224"
21,"346 OLDHAM ST","BALTIMORE","Maryland","21224"
22,"LOVEGROVE ST &E 31ST ST","BALTIMORE","Maryland","21218"
23,"2700 MCELDERRY ST","BALTIMORE","Maryland","21205"
24,"743 N CHESTER ST","BALTIMORE","Maryland","21205"
25,"2800 GWYNNS FALLS PKWY","BALTIMORE","Maryland","21216"
26,"MCCLEAN BLVD &E NORTHERN PKWY","BALTIMORE","Maryland","21214"
27,"3512 MARY AVE","BALTIMORE","Maryland","21214"
28,"5813 MORAVIA RD","BALTIMORE","Maryland","21206"
29,"1419 BOLTON ST","BALTIMORE","Maryland","21217"
30,"3500 EVERGREEN AVE","BALTIMORE","Maryland","21214"
31,"800 W FAYETTE ST","BALTIMORE","Maryland","21201"
32,"3400 W MULBERRY ST","BALTIMORE","Maryland","21229"
33,"100 N BROADWAY","BALTIMORE","Maryland","21231"
34,"2700 BROENING HWY","BALTIMORE","Maryland","21222"
35,"11 S EUTAW ST","BALTIMORE","Maryland","21201"
36,"544 EISLEN ST","BALTIMORE","Maryland","21230"
37,"311 TAPLOW RD","BALTIMORE","Maryland","21212"
38,"127 S CASTLE ST","BALTIMORE","Maryland","21231"
39,"4203 WILLSHIRE AVE","BALTIMORE","Maryland","21206"
40,"INTERSTATE AVE & O'DONNELL ST CUT OFF","BALTIMORE","Maryland","21224"
41,"S BRUCE ST & MCHENRY ST","BALTIMORE","Maryland","21223"
42,"S BRUCE ST & RAMSAY ST","BALTIMORE","Maryland","21223"
43,"300 S BRUCE ST","BALTIMORE","Maryland","21223"
44,"3723 RIDGECROFT RD","BALTIMORE","Maryland","21206"
45,"5300 CEDONIA AVE","BALTIMORE","Maryland","21206"
46,"1313 BROENING HWY","BALTIMORE","Maryland","21224"
47,"5100 SINCLAIR LN","BALTIMORE","Maryland","21206"
48,"3827 SAINT VICTOR ST","BALTIMORE","Maryland","21225"
49,"3838 SINCLAIR LN","BALTIMORE","Maryland","21213"
50,"6310 COVE AVE","BALTIMORE","Maryland","21226"
51,"6300 ARUNDEL COVE AVE","BALTIMORE","Maryland","21226"
52,"1500 DUNDALK AVE","BALTIMORE","Maryland","21222"
53,"4627 BELVIEU AVE","BALTIMORE","Maryland","21207"
54,"2510 HALCYON AVE","BALTIMORE","Maryland","21214"
55,"HILLSDALE RD & MAINE AVE","BALTIMORE","Maryland","21207"
56,"900 DRUID PARK LAKE DR","BALTIMORE","Maryland","21217"
57,"3404 CHESTERFIELD AVE","BALTIMORE","Maryland","21213"
58,"1200 E NORTH AVE","BALTIMORE","Maryland","21202"
59,"3800 W ROGERS AVE","BALTIMORE","Maryland","21215"
60,"PERRING PKWY &E NORTHERN PKWY","BALTIMORE","Maryland","21239"
61,"2128 SAINT PAUL ST","BALTIMORE","Maryland","21218"
62,"430 ELRINO ST","BALTIMORE","Maryland","21224"
63,"W BELVEDERE AVE & PEMBRIDGE AVE","BALTIMORE","Maryland","21215"
64,"GIST AVE &W ROGERS AVE","BALTIMORE","Maryland","21215"
65,"5432 NELSON AVE","BALTIMORE","Maryland","21215"
66,"N CENTRAL AVE & BIDDLE CHASE","BALTIMORE","Maryland","21202"
67,"N BROADWAY &E FAIRMOUNT AVE","BALTIMORE","Maryland","21231"
68,"1419 W FAYETTE ST","BALTIMORE","Maryland","21223"
69,"100 MERCER ST","BALTIMORE","Maryland","21202"
70,"6013 PARK HEIGHTS AVE","BALTIMORE","Maryland","21215"
71,"1425 ALICEANNA ST","BALTIMORE","Maryland","21231"
72,"1929 FLEET ST","BALTIMORE","Maryland","21231"
73,"3832 LIBERTY HEIGHTS AVE","BALTIMORE","Maryland","21215"
74,"PERRING PKWY &E NORTHERN PKWY","BALTIMORE","Maryland","21239"
75,"1008 MARLAU DR","BALTIMORE","Maryland","21212"
76,"300 KERNEWAY","BALTIMORE","Maryland","21212"
77,"400 S CENTRAL AVE","BALTIMORE","Maryland","21202"
78,"1425 ALICEANNA ST","BALTIMORE","Maryland","21231"
79,"1209 BERNARD DR","BALTIMORE","Maryland","21223"
80,"E 25TH ST &N CALVERT ST","BALTIMORE","Maryland","21218"
81,"4400 PALL MALL RD","BALTIMORE","Maryland","21215"
82,"1800 COLE ST","BALTIMORE","Maryland","21223"
83,"3226 ROSALIE AVE","BALTIMORE","Maryland","21234"
84,"E NORTH AVE & SAINT PAUL ST","BALTIMORE","Maryland","21202"
85,"3217 NOBLE ST","BALTIMORE","Maryland","21224"
86,"1606 MARSHALL ST","BALTIMORE","Maryland","21230"
87,"E NORTH AVE &N WOLFE ST","BALTIMORE","Maryland","21213"
88,"6213 EASTBOURNE AVE","BALTIMORE","Maryland","21224"
89,"N EUTAW ST","BALTIMORE","Maryland","21201"
90,"HILLEN RD &E NORTHERN PKWY","BALTIMORE","Maryland","21239"
91,"353 N FULTON AVE","BALTIMORE","Maryland","21223"
92,"1831 E LOMBARD ST","BALTIMORE","Maryland","21231"
93,"2500 QUEEN ANNE RD","BALTIMORE","Maryland","21216"
94,"5900 HILLEN RD","BALTIMORE","Maryland","21239"
95,"JOPLIN ST & BROWN AVE","BALTIMORE","Maryland","21224"
96,"DANVILLE AVE & PUMPHREY ST","BALTIMORE","Maryland","21224"
97,"1715 E 32ND ST","BALTIMORE","Maryland","21218"
98,"1600 FLEET ST","BALTIMORE","Maryland","21231"
99,"W LOMBARD ST &S EUTAW ST","BALTIMORE","Maryland","21201"
100,"6208 HILLTOP AVE","BALTIMORE","Maryland","21206"
101,"SHAMROCK AVE & GREENHILL AVE","BALTIMORE","Maryland","21206"
102,"5500 83 N","BALTIMORE","Maryland","21209"
103,"636 W LEXINGTON ST","BALTIMORE","Maryland","21201"
104,"6300 OLD HARFORD RD","BALTIMORE","Maryland","21214"
105,"MCELDERRY ST &N WOLFE ST","BALTIMORE","Maryland","21205"
106,"3705 SEQUOIA AVE","BALTIMORE","Maryland","21215"
107,"410 WASHBURN AVE","BALTIMORE","Maryland","21225"
108,"3310 N CALVERT ST","BALTIMORE","Maryland","21218"
109,"2710 RUECKERT AVE","BALTIMORE","Maryland","21214"
110,"5200 HILLBURN AVE","BALTIMORE","Maryland","21206"
111,"5510 EDNA AVE","BALTIMORE","Maryland","21214"
112,"GREENSPRING AVE & CYLBURN AVE","BALTIMORE","Maryland","21215"
113,"357 YALE AVE","BALTIMORE","Maryland","21229"
114,"E OLIVER ST &N LAKEWOOD AVE","BALTIMORE","Maryland","21213"
115,"3812 DELVERNE RD","BALTIMORE","Maryland","21218"
116,"4321 N CHARLES ST","BALTIMORE","Maryland","21218"
117,"3900 BOARMAN AVE","BALTIMORE","Maryland","21215"
118,"3900 OVERLEA AVE","BALTIMORE","Maryland","21206"
119,"4104 ERDMAN AVE","BALTIMORE","Maryland","21213"
120,"4202 CHARLCOTE RD","BALTIMORE","Maryland","21218"
121,"RAMBLEWOOD RD & WILLOWTON AVE","BALTIMORE","Maryland","21239"
122,"5817 THE ALAMEDA","BALTIMORE","Maryland","21239"
123,"4410 THE ALAMEDA","BALTIMORE","Maryland","21239"
124,"921 JOH AVE","BALTIMORE","Maryland","21229"
125,"MORAVIA RD","BALTIMORE","Maryland","21214"
126,"E FAYETTE ST &N CONKLING ST","BALTIMORE","Maryland","21224"
127,"210 N WASHINGTON ST","BALTIMORE","Maryland","21231"
128,"32 S WASHINGTON ST","BALTIMORE","Maryland","21231"
129,"600 N GRANTLEY ST","BALTIMORE","Maryland","21229"
130,"100 N HOWARD ST","BALTIMORE","Maryland","21201"
131,"3900 GREENMOUNT AVE","BALTIMORE","Maryland","21218"
132,"W FRANKLIN ST","BALTIMORE","Maryland","21223"
133,"1600 COLE ST","BALTIMORE","Maryland","21223"
134,"THE ALAMEDA & EVESHAM AVE","BALTIMORE","Maryland","21239"
135,"425 THORNFIELD RD","BALTIMORE","Maryland","21229"
136,"6105 BELAIR RD","BALTIMORE","Maryland","21206"
137,"CEDONIA AVE & ARIZONA AVE","BALTIMORE","Maryland","21206"
138,"BELAIR RD & MARLUTH AVE","BALTIMORE","Maryland","21206"
139,"2000 E 32ND ST","BALTIMORE","Maryland","21218"
140,"2900 E LOMBARD ST","BALTIMORE","Maryland","21224"
141,"EASTERN AVE & PRESIDENT ST","BALTIMORE","Maryland","21202"
142,"500 N EDGEWOOD ST","BALTIMORE","Maryland","21229"
143,"2413 JAMES ST","BALTIMORE","Maryland","21230"
144,"1400 BONSAL ST","BALTIMORE","Maryland","21224"
145,"2700 WOODVIEW RD","BALTIMORE","Maryland","21225"
146,"1700 IMLA ST","BALTIMORE","Maryland","21224"
147,"1816 LIGHT ST","BALTIMORE","Maryland","21230"
148,"4219 ROLAND VIEW AVE","BALTIMORE","Maryland","21215"
149,"6802 MCCLEAN BLVD","BALTIMORE","Maryland","21234"
150,"2017 KELLY AVE","BALTIMORE","Maryland","21209"
151,"1001 N PATTERSON PARK AVE","BALTIMORE","Maryland","21205"
152,"NORTHWOOD DR & PENTRIDGE RD","BALTIMORE","Maryland","21239"
153,"1400 GREENMOUNT AVE","BALTIMORE","Maryland","21202"
154,"1600 E MADISON ST","BALTIMORE","Maryland","21205"
155,"2700 E OLIVER ST","BALTIMORE","Maryland","21213"
156,"6000 HARFORD RD","BALTIMORE","Maryland","21214"
157,"2229 VAN DEMAN ST","BALTIMORE","Maryland","21224"
158,"909 DRUID PARK LAKE DR","BALTIMORE","Maryland","21217"
159,"7211 PARK HEIGHTS AVE","BALTIMORE","Maryland","21208"
160,"918 S ROBINSON ST","BALTIMORE","Maryland","21224"
161,"1703 LANCASTER ST","BALTIMORE","Maryland","21231"
162,"FAIRWOOD AVE & PARKMONT AVE","BALTIMORE","Maryland","21206"
163,"6000 THE ALAMEDA","BALTIMORE","Maryland","21239"
164,"5800 RUSHBROOK RD","BALTIMORE","Maryland","21212"
165,"800 LENTON AVE","BALTIMORE","Maryland","21212"
166,"800 LENTON AVE","BALTIMORE","Maryland","21212"
167,"83 FAYETTEEXIT","BALTIMORE","Maryland",NA
168,"WINANS WAY & UPLANDS PKWY","BALTIMORE","Maryland","21229"
169,"1536 NORTHGATE RD","BALTIMORE","Maryland","21218"
170,"520 HARWOOD AVE","BALTIMORE","Maryland","21212"
171,"100 KANE ST","BALTIMORE","Maryland","21224"
172,"N GREENE ST","BALTIMORE","Maryland","21201"
173,"E NORTHERN PKWY & HARFORD RD","BALTIMORE","Maryland","21214"
174,"1800 N SPRING ST","BALTIMORE","Maryland","21213"
175,"3122 DILLON ST","BALTIMORE","Maryland","21224"
176,"6300 OLD HARFORD RD","BALTIMORE","Maryland","21214"
177,"2700 VIOLET AVE","BALTIMORE","Maryland","21215"
178,"5000 REMMELL AVE","BALTIMORE","Maryland","21206"
179,"117 S WASHINGTON ST","BALTIMORE","Maryland","21231"
180,"1715 E 32ND ST","BALTIMORE","Maryland","21218"
181,"932 SEAGULL AVE","BALTIMORE","Maryland","21225"
182,"960 SEAGULL AVE","BALTIMORE","Maryland","21225"
183,"603 N GRANTLEY ST","BALTIMORE","Maryland","21229"
184,"N EUTAW ST &W SARATOGA ST","BALTIMORE","Maryland","21201"
185,"300 E 22ND ST","BALTIMORE","Maryland","21218"
186,"600 ROUNDVIEW RD","BALTIMORE","Maryland","21225"
187,"2051 S HANOVER ST","BALTIMORE","Maryland","21230"
188,"1437 W PATAPSCO AVE","BALTIMORE","Maryland","21230"
189,"400 E 25TH ST","BALTIMORE","Maryland","21218"
190,"0 NORTHERN PKWY E","BALTIMORE","Maryland","21206"
191,"100 E WHEELING ST","BALTIMORE","Maryland","21230"
192,"901 DRUID PARK LAKE DR","BALTIMORE","Maryland","21217"
193,"1000 S HANOVER ST","BALTIMORE","Maryland","21230"
194,"GLENOAK AVE & ROSALIE AVE","BALTIMORE","Maryland","21234"
195,"PLAINFIELD AVE & SHAMROCK AVE","BALTIMORE","Maryland","21206"
196,"7330 HARFORD RD","BALTIMORE","Maryland","21234"
197,"5500 CEDONIA AVE","BALTIMORE","Maryland","21206"
198,"1600 W FRANKLIN ST","BALTIMORE","Maryland","21223"
199,"ROSELAWN AVE & PLYMOUTH RD","BALTIMORE","Maryland","21214"
200,"SOMERSET ST &E BIDDLE ST","BALTIMORE","Maryland","21202"
201,"STOKES DR","BALTIMORE","Maryland","21229"
202,"6100 FALKIRK RD","BALTIMORE","Maryland","21239"
203,"6100 FALKIRK RD","BALTIMORE","Maryland","21239"
204,"517 WALKER AVE","BALTIMORE","Maryland","21212"
205,"3500 KENYON AVE","BALTIMORE","Maryland",NA
206,"1932 NORTHBOURNE RD","BALTIMORE","Maryland","21239"
207,"LYNDALE AVE & DUDLEY AVE","BALTIMORE","Maryland","21213"
208,"4118 GLENARM AVE","BALTIMORE","Maryland","21206"
209,"2701 WHITNEY AVE","BALTIMORE","Maryland","21215"
210,"2700 SULGRAVE AVE","BALTIMORE","Maryland","21215"
211,"1219 N CHESTER ST","BALTIMORE","Maryland","21213"
212,"1200 DUNDALK AVE","BALTIMORE","Maryland","21224"
213,"1534 JACKSON ST","BALTIMORE","Maryland","21230"
214,"1203 SLATER RD","BALTIMORE","Maryland","21225"
215,"300 S BRUCE ST","BALTIMORE","Maryland","21223"
216,"3600 WOODSTOCK AVE","BALTIMORE","Maryland","21213"
217,"RALLS AVE & VAN DEMAN ST","BALTIMORE","Maryland","21222"
218,"3111 TYNDALE AVE","BALTIMORE","Maryland","21214"
219,"WHITMORE AVE & WINCHESTER ST","BALTIMORE","Maryland","21216"
220,"N WARWICK AVE &W FRANKLIN ST","BALTIMORE","Maryland","21223"
221,"400 W UNIVERSITY PKWY","BALTIMORE","Maryland","21210"
222,"2020 WINFORD RD","BALTIMORE","Maryland","21239"
223,"3100 N CHARLES ST","BALTIMORE","Maryland","21211"
224,"842 TYSON ST","BALTIMORE","Maryland","21201"
225,"3211 ORLANDO AVE","BALTIMORE","Maryland","21234"
226,"2826 CHRISTOPHER AVE","BALTIMORE","Maryland","21214"
227,"6200 MOYER AVE","BALTIMORE","Maryland","21206"
228,"2016 BURNWOOD RD","BALTIMORE","Maryland","21239"
229,"3336 PAINE ST","BALTIMORE","Maryland","21211"
230,"PAINE ST","BALTIMORE","Maryland","21211"
231,"2718 E FAIRMOUNT AVE","BALTIMORE","Maryland","21224"
232,"1512 LOCHWOOD RD","BALTIMORE","Maryland","21218"
233,"400 S BOULDIN ST","BALTIMORE","Maryland","21224"
234,"6000 CEDONIA AVE","BALTIMORE","Maryland","21206"
235,"W NORTH AVE & PARK AVE","BALTIMORE","Maryland","21217"
236,"GRANDVIEW NEWPORT &W OLD COLD SPRING LN","BALTIMORE","Maryland","21209"
237,"1020 W 42ND ST","BALTIMORE","Maryland","21211"
238,"1101 S HANOVER ST","BALTIMORE","Maryland","21230"
239,"LIBERTY HEIGHTS AVE & DRUID PARK DR","BALTIMORE","Maryland","21215"
240,"3312 NERAK RD","BALTIMORE","Maryland","21208"
241,"2404 COLLEGE AVE","BALTIMORE","Maryland","21214"
242,"HILLEN RD & RALWORTH RD","BALTIMORE","Maryland","21218"
243,"TIVOLY AVE & ARGONNE DR","BALTIMORE","Maryland","21218"
244,"2304 SOUTHERN AVE","BALTIMORE","Maryland","21214"
245,"1700 N REGESTER ST","BALTIMORE","Maryland","21213"
246,"1600 E 30TH ST","BALTIMORE","Maryland","21218"
247,"3100 HAWKINS POINT RD","BALTIMORE","Maryland","21226"
248,"4600 ANNTANA AVE","BALTIMORE","Maryland","21206"
249,"S HANOVER ST & KENT ST","BALTIMORE","Maryland","21225"
250,"S HANOVER ST & WASHBURN AVE","BALTIMORE","Maryland","21225"
