"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"3501 E BIDDLE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-03-19T18:05:05.000","2015-05-08T18:05:05.000","ORANGEVILLE INDUSTRIAL AREA","15-00220212","MD","DUPCLOSD","2015-03-19T18:05:05.000","21213",NA,NA,NA,NA,NA
"2915  RUECKERT AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-03-14T18:50:32.000","2015-05-03T18:50:32.000","LAURAVILLE","15-00203287","MD","CLOSED","2015-03-30T16:18:04.000","21214",NA,NA,NA,NA,NA
"3700  GELSTON DR","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-03-13T17:24:57.000","2015-05-02T17:24:57.000","EDMONDSON VILLAGE","15-00200899","MD","CLOSED","2015-04-22T09:49:17.000","21229","Generate Work Order","Sign erected","2015-04-22T09:49:00.000",NA,NA
"300 E 22 1/2 ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-03-12T17:42:16.000","2015-05-01T17:42:16.000","BARCLAY","15-00196184","MD","CLOSED","2015-03-26T17:32:24.000","21218","Generate Work Order","Sign erected","2015-03-26T17:32:00.000",NA,NA
"1411  BUSH ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-03-11T11:51:47.000","2015-04-30T11:51:47.000","WASHINGTON VILLAGE","15-00189389","MD","CLOSED","2015-04-06T10:20:23.000","21230","Generate Work Order","Sign erected","2015-04-06T10:20:00.000",NA,NA
"2100 E CHASE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-03-10T15:56:12.000","2015-04-29T15:56:12.000","MIDDLE EAST","15-00186681","MD","O-PENDNG","2015-05-06T11:20:32.000","21213",NA,NA,NA,NA,NA
"3501 E BIDDLE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-03-09T11:59:41.000","2015-04-28T11:59:41.000","ORANGEVILLE INDUSTRIAL AREA","15-00181074","MD","CLOSED","2015-03-16T16:57:22.000","21213",NA,NA,NA,NA,NA
"N CHARLES ST &E LAKE AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-02-17T21:18:43.000","2015-04-08T21:18:43.000","BELLONA-GITTINGS","15-00116154","MD","CLOSED","2015-05-05T12:30:56.000","21210","Generate Work Order","Sign erected","2015-05-05T12:28:00.000",NA,NA
"W WELLS ST &S HANOVER ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-02-13T12:46:24.000","2015-04-04T12:46:24.000","SBIC","15-00104217","MD","CLOSED","2015-03-25T17:43:25.000","21230","Generate Work Order","Sign erected","2015-03-25T17:43:00.000",NA,NA
"2412 E COLD SPRING LN","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-02-09T19:27:05.000","2015-03-31T19:27:05.000","LAURAVILLE","15-00093306","MD","CLOSED","2015-02-09T19:28:15.000","21214",NA,NA,NA,NA,NA
"2900  HARFORD RD","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-02-05T13:50:11.000","2015-03-27T13:50:11.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00083729","MD","CLOSED","2015-03-26T13:16:51.000","21218",NA,NA,NA,NA,NA
"2600  BERYL AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-02-04T12:49:38.000","2015-03-26T12:49:38.000","BIDDLE STREET","15-00080242","MD","CLOSED","2015-03-24T10:18:43.000","21205","Generate Work Order","Sign erected","2015-03-24T10:18:00.000",NA,NA
"2800  MARYLAND AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-02-03T17:12:46.000","2015-03-25T17:12:46.000","CHARLES VILLAGE","15-00078227","MD","CLOSED","2015-04-13T10:02:52.000","21218","Generate Work Order","Sign erected","2015-04-13T10:02:00.000",NA,NA
"2024 E BALTIMORE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-02-02T15:21:35.000","2015-03-24T15:21:35.000","BUTCHER'S HILL","15-00074357","MD","DUPCLOSD","2015-02-12T14:28:38.000","21231",NA,NA,NA,NA,NA
"1  COMMERCE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-01-30T18:04:37.000","2015-03-21T18:04:37.000","DOWNTOWN","15-00070338","MD","CLOSED","2015-02-23T17:23:12.000","21202",NA,NA,NA,NA,NA
"2024 E BALTIMORE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-01-30T17:04:54.000","2015-03-21T17:04:54.000","BUTCHER'S HILL","15-00070131","MD","DUPCLOSD","2015-02-12T14:28:38.000","21231",NA,NA,NA,NA,NA
