"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"2300  FREDERICK AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-05-07T15:23:36.000","2015-05-09T15:23:36.000","SHIPLEY HILL","15-00357521","MD","CLOSED","2015-05-11T10:37:20.000","21228",NA,NA,NA,NA,NA
"3300  LOCH RAVEN BLVD","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-05-05T14:28:44.000","2015-05-07T14:28:44.000","EDNOR GARDENS-LAKESIDE","15-00349890","MD","CLOSED","2015-05-07T11:38:17.000","21218",NA,NA,NA,NA,NA
"309  CATHEDRAL ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-05-05T13:27:33.000","2015-05-07T13:27:33.000","DOWNTOWN","15-00349568","MD","CLOSED","2015-05-07T11:43:19.000","21201",NA,NA,NA,NA,NA
"OAKLEY AVE & PALMER AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-05-05T10:38:15.000","2015-05-07T10:38:15.000","CENTRAL PARK HEIGHTS","15-00348789","MD","CLOSED","2015-05-06T11:52:43.000","21215",NA,NA,NA,NA,NA
"N CHARLES ST &E 25TH ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-05-04T20:10:38.000","2015-05-06T20:10:38.000","CHARLES VILLAGE","15-00348206","MD","CLOSED","2015-05-07T11:51:09.000","21218",NA,NA,NA,NA,NA
"HILLEN RD & WINDEMERE AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-05-04T10:43:55.000","2015-05-06T10:43:55.000","EDNOR GARDENS-LAKESIDE","15-00345155","MD","CLOSED","2015-05-06T12:06:53.000","21218",NA,NA,NA,NA,NA
"300  CATHEDRAL ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-30T19:11:19.000","2015-05-02T19:11:19.000","DOWNTOWN","15-00339107","MD","CLOSED","2015-05-06T12:17:25.000","21201",NA,NA,NA,NA,NA
"1700 N GAY ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-30T10:15:33.000","2015-05-02T10:15:33.000","BROADWAY EAST","15-00336831","MD","CLOSED","2015-05-06T12:25:18.000","21213",NA,NA,NA,NA,NA
"945 E PATAPSCO AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-29T20:56:46.000","2015-05-01T20:56:46.000","BROOKLYN","15-00336188","MD","CLOSED","2015-05-04T10:35:07.000","21225",NA,NA,NA,NA,NA
"1549  KENNEWICK RD","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-28T22:43:52.000","2015-04-30T22:43:52.000","EDNOR GARDENS-LAKESIDE","15-00332939","MD","CLOSED","2015-04-30T12:29:03.000","21218",NA,NA,NA,NA,NA
"655 E BALTIMORE ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-27T12:38:39.000","2015-04-29T12:38:39.000","DOWNTOWN","15-00326763","MD","CLOSED","2015-04-30T12:58:00.000","21202",NA,NA,NA,NA,NA
"LOCH RAVEN BLVD & LAKESIDE AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-26T13:54:36.000","2015-04-28T13:54:36.000","EDNOR GARDENS-LAKESIDE","15-00325471","MD","CLOSED","2015-04-30T13:19:16.000","21218",NA,NA,NA,NA,NA
"HOLABIRD AVE & BROENING HWY","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-25T21:18:11.000","2015-04-27T21:18:11.000","HOLABIRD INDUSTRIAL PARK","15-00324972","MD","CLOSED","2015-04-29T11:12:33.000","21224",NA,NA,NA,NA,NA
"7000  FIELDCREST RD","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-22T17:44:08.000","2015-04-24T17:44:08.000","FALLSTAFF","15-00316003","MD","CLOSED","2015-04-24T11:25:16.000","21215",NA,NA,NA,NA,NA
"LOCH RAVEN BLVD &E 33RD ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-22T14:40:06.000","2015-04-24T14:40:06.000","BETTER WAVERLY","15-00314970","MD","CLOSED","2015-04-23T13:24:05.000","21218",NA,NA,NA,NA,NA
"15 E BARNEY ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-21T20:08:05.000","2015-04-23T20:08:05.000","SBIC","15-00312466","MD","CLOSED","2015-04-23T13:38:44.000","21230",NA,NA,NA,NA,NA
"5510  LEITH RD","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-17T12:40:21.000","2015-04-19T12:40:21.000","WOODBOURNE HEIGHTS","15-00301209","MD","CLOSED","2015-04-17T13:51:58.000","21239",NA,NA,NA,NA,NA
"LAKESIDE AVE & LOCH RAVEN BLVD","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-14T15:52:14.000","2015-04-16T15:52:14.000","EDNOR GARDENS-LAKESIDE","15-00291296","MD","CLOSED","2015-04-15T13:58:56.000","21218",NA,NA,NA,NA,NA
"MOUNT HOLLY ST & WINDSOR MILL RD","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-13T20:55:09.000","2015-04-15T20:55:09.000","MOUNT HOLLY","15-00289160","MD","CLOSED","2015-04-15T14:34:20.000","21216",NA,NA,NA,NA,NA
"6600  DANVILLE AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-13T16:24:07.000","2015-04-15T16:24:07.000","BROENING MANOR","15-00287560","MD","CLOSED","2015-04-14T11:44:47.000","21224",NA,NA,NA,NA,NA
"3016  SPAULDING AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-13T14:09:04.000","2015-04-15T14:09:04.000","CENTRAL PARK HEIGHTS","15-00286819","MD","CLOSED","2015-04-15T14:10:58.000","21215",NA,NA,NA,NA,NA
"1000 E LAKE AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-13T11:36:16.000","2015-04-15T11:36:16.000","LAKE WALKER","15-00285743","MD","CLOSED","2015-04-20T11:54:54.000","21212",NA,NA,NA,NA,NA
"1465  KEY HWY","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-12T12:18:57.000","2015-04-14T12:18:57.000","RIVERSIDE","15-00284753","MD","CLOSED","2015-04-14T12:18:01.000","21230",NA,NA,NA,NA,NA
"DANVILLE AVE & DUNDALK AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-10T15:38:44.000","2015-04-12T15:38:44.000","GRACELAND PARK","15-00281378","MD","CLOSED","2015-04-10T18:06:16.000","21224",NA,NA,NA,NA,NA
"5400  BELAIR RD","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-10T14:22:49.000","2015-04-12T14:22:49.000","WALTHERSON","15-00281032","MD","CLOSED","2015-04-14T13:08:47.000","21206",NA,NA,NA,NA,NA
"1600 E 25TH ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-10T00:28:46.000","2015-04-12T00:28:46.000","DARLEY PARK","15-00279647","MD","CLOSED","2015-04-10T18:15:17.000","21213",NA,NA,NA,NA,NA
"E BALTIMORE ST &N CENTRAL AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-09T19:54:54.000","2015-04-11T19:54:54.000","JONESTOWN","15-00279233","MD","CLOSED","2015-04-10T18:23:22.000","21202",NA,NA,NA,NA,NA
"S HANOVER ST & REEDBIRD AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-09T17:29:03.000","2015-04-11T17:29:03.000","MIDDLE BRANCH/REEDBIRD PARKS","15-00278446","MD","CLOSED","2015-04-10T18:27:46.000","21225",NA,NA,NA,NA,NA
"DANVILLE AVE & DUNDALK AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-09T17:23:49.000","2015-04-11T17:23:49.000","GRACELAND PARK","15-00278425","MD","CLOSED","2015-04-15T14:41:46.000","21222",NA,NA,NA,NA,NA
"5508  LEITH RD","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-07T14:50:20.000","2015-04-09T14:50:20.000","WOODBOURNE HEIGHTS","15-00270586","MD","CLOSED","2015-04-22T13:42:35.000","21239",NA,NA,NA,NA,NA
"3820  SAINT VICTOR ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-08T20:37:28.000","2015-04-10T20:37:28.000","BROOKLYN","15-00276025","MD","CLOSED","2015-04-27T10:45:16.000","21225",NA,NA,NA,NA,NA
"2842 W LANVALE ST","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-07T12:20:28.000","2015-04-09T12:20:28.000","MOSHER","15-00269842","MD","CLOSED","2015-04-20T12:01:02.000","21216",NA,NA,NA,NA,NA
"241 N MILTON AVE","BALTIMORE","STEELPL2","TRM-Steel Plate Complaint","2015-04-07T11:32:32.000","2015-04-09T11:32:32.000","MCELDERRY PARK","15-00269630","MD","O-WIP","2015-04-07T11:36:28.000","21224",NA,NA,NA,NA,NA
