"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"W PATAPSCO AVE & HOLLINS FERRY RD","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-10-16T15:28:02.000","2014-12-15T15:28:02.000","LAKELAND","14-00780305","MD","CLOSED","2014-10-27T11:33:17.000","21230",NA,NA,NA,NA,NA
"61 S KOSSUTH ST","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-16T03:47:25.000","2014-10-15T03:47:25.000","SAINT JOSEPHS","14-00615303","MD","CLOSED","2014-08-21T15:45:01.000","21229","Plate removed","Closed","2014-08-21T15:44:00.000",NA,NA
"3034  GREENMOUNT AVE","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-13T16:25:59.000","2014-10-12T16:25:59.000","BETTER WAVERLY","14-00606832","MD","CLOSED","2014-08-20T21:11:22.000","21218","Plate removed","Closed","2014-08-20T21:11:00.000",NA,NA
"1710 W NORTH AVE","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-13T16:19:19.000","2014-10-12T16:19:19.000","PENN NORTH","14-00606789","MD","CLOSED","2014-08-18T23:04:00.000","21217","Plate removed","Closed","2014-08-18T23:03:00.000",NA,NA
"S MILTON AVE & FLEET ST","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-12T23:14:49.000","2014-10-11T23:14:49.000","CANTON","14-00604496","MD","CLOSED","2014-08-14T14:48:51.000","21224","Plate removed","Closed","2014-08-14T14:48:00.000",NA,NA
"700 S MONTFORD AVE","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-12T22:40:34.000","2014-10-11T22:40:34.000","CANTON","14-00604438","MD","CLOSED","2014-08-14T14:47:50.000","21224","Plate removed","Closed","2014-08-14T14:47:00.000",NA,NA
"1919 W BALTIMORE ST","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-11T23:31:03.000","2014-10-10T23:31:03.000","BOOTH-BOYD","14-00601069","MD","CLOSED","2014-08-18T23:04:53.000","21223","Plate removed","Closed","2014-08-18T23:04:00.000",NA,NA
"901 N NEWKIRK ST","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-08T23:48:22.000","2014-10-07T23:48:22.000","ORANGEVILLE","14-00595190","MD","CLOSED","2014-08-19T19:12:42.000","21205","Plate removed","Closed","2014-08-19T19:12:00.000",NA,NA
"1521  CARSWELL ST","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-08T22:51:26.000","2014-10-07T22:51:26.000","COLDSTREAM HOMESTEAD MONTEBELLO","14-00595152","MD","CLOSED","2014-08-22T12:38:51.000","21218","Plate removed","Closed","2014-08-22T12:38:00.000",NA,NA
"132 S EAST AVE","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-07T22:22:25.000","2014-10-06T22:22:25.000","BALTIMORE-LINWOOD","14-00591525","MD","CLOSED","2014-08-22T12:39:17.000","21224",NA,NA,NA,NA,NA
"HARFORD RD & GLENMORE AVE","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-06T23:52:07.000","2014-10-05T23:52:07.000","GLENHAM-BELFORD","14-00587760","MD","CLOSED","2014-08-22T12:41:45.000","21214",NA,NA,NA,NA,NA
"E 39TH ST & OLD YORK RD","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-06T23:16:24.000","2014-10-05T23:16:24.000","PEN LUCY","14-00587706","MD","CLOSED","2014-08-19T16:19:28.000","21218","Plate removed","Closed","2014-08-19T16:19:00.000",NA,NA
"3800  FERNHILL AVE","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-06T23:03:55.000","2014-10-05T23:03:55.000","DOLFIELD","14-00587684","MD","CLOSED","2014-08-18T23:26:11.000","21215","Plate removed","Closed","2014-08-18T23:26:00.000",NA,NA
"2544  EDMONDSON AVE","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-05T22:52:08.000","2014-10-04T22:52:08.000","ROSEMONT HOMEOWNERS/TENANTS","14-00584126","MD","CLOSED","2014-08-06T22:54:46.000","21223","Plate removed","Closed","2014-08-06T22:54:00.000",NA,NA
"1833 E LOMBARD ST","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-01T23:08:33.000","2014-09-30T23:08:33.000","WASHINGTON HILL","14-00574340","MD","CLOSED","2014-08-22T12:44:17.000","21231",NA,NA,NA,NA,NA
"S PATTERSON PARK AVE & BANK ST","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-01T14:07:00.000","2014-09-30T14:07:00.000","UPPER FELLS POINT","14-00572589","MD","CLOSED","2014-08-28T15:28:51.000","21224","Plate removed","Closed","2014-08-28T15:28:00.000",NA,NA
"401  HOLLIDAY ST","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-01T14:03:25.000","2014-09-30T14:03:25.000","PENN-FALLSWAY","14-00572574","MD","CLOSED","2014-09-10T09:18:46.000","21202",NA,NA,NA,NA,NA
"2011 W LEXINGTON ST","BALTIMORE CITY","STEELPLA","WW-Water Steel Plate","2014-08-01T14:01:45.000","2014-09-30T14:01:45.000","PENROSE/FAYETTE STREET OUTREACH","14-00572563","MD","CLOSED","2014-08-04T16:46:36.000","21223","Plate removed","Closed","2014-08-04T16:46:00.000",NA,NA
