"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
"Dispatch lighting Inspector","2500  PARK HEIGHTS TER","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-24T18:15:49.000","2015-06-03T18:15:49.000","GREENSPRING","15-00323107","MD","CLOSED","2015-04-29T12:03:44.000","2015-04-24T18:16:00.000","21215",NA,NA,NA
"Dispatch lighting Inspector","N CHARLES ST &E 33RD ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-21T18:51:18.000","2015-05-31T18:51:18.000","CHARLES VILLAGE","15-00312253","MD","CLOSED","2015-04-23T18:10:21.000","2015-04-22T18:00:00.000","21218",NA,NA,NA
"Dispatch lighting Inspector","3926  ELM AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-16T16:57:24.000","2015-05-26T16:57:24.000","HAMPDEN","15-00299184","MD","CLOSED","2015-04-20T12:56:03.000","2015-04-20T12:55:00.000","21211",NA,NA,NA
NA,"3818  FOSTER AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-13T22:16:34.000","2015-05-23T22:16:34.000","BREWERS HILL","15-00289391","MD","CLOSED","2015-04-16T12:57:30.000",NA,"21224",NA,NA,NA
"Dispatch lighting Inspector","1800  DRUID HILL AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-13T18:14:01.000","2015-05-23T18:14:01.000","DRUID HEIGHTS","15-00288252","MD","CLOSED","2015-04-20T18:25:24.000","2015-04-20T18:25:00.000","21217",NA,NA,NA
NA,"3405  LAKE MONTEBELLO DR","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-06T19:09:37.000","2015-05-16T19:09:37.000","MAYFIELD","15-00268607","MD","CLOSED","2015-04-07T11:45:05.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","3701 W FOREST PARK AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-05T13:12:46.000","2015-05-15T13:12:46.000","FOREST PARK","15-00265112","MD","CLOSED","2015-04-22T12:33:47.000","2015-04-22T12:33:00.000","21216",NA,NA,NA
NA,"2101  DOBLER AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-03T13:33:24.000","2015-05-13T13:33:24.000","MAYFIELD","15-00262486","MD","CLOSED","2015-04-23T18:24:40.000",NA,"21218",NA,NA,NA
NA,"3400  LAKE MONTEBELLO DR","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-03T12:28:10.000","2015-05-13T12:28:10.000","MONTEBELLO","15-00262289","MD","CLOSED","2015-04-23T18:22:45.000",NA,"21218",NA,NA,NA
NA,"3516 N CALVERT ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-02T16:03:47.000","2015-05-12T16:03:47.000","OAKENSHAWE","15-00259848","MD","CLOSED","2015-04-29T12:11:27.000",NA,"21218",NA,NA,NA
