"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"5411  GRINDON AVE","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-03-25T17:54:30.000","2015-06-08T17:54:30.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00236730","MD","NEW","2015-03-26T00:24:48.000","21214",NA,NA,NA,NA,NA
"4400  MOUNTVIEW RD","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-03-09T17:45:41.000","2015-05-23T17:45:41.000","UPLANDS","15-00183296","MD","CLOSED","2015-05-11T19:06:41.000","21229","Dispatch Work Crew","No Cause For Action","2015-05-11T19:06:00.000",NA,NA
"2400 E MADISON ST","BALTIMORE CITY","TRMMAJOR","TRM-Major Street Repairs (In House)","2014-09-29T18:15:56.000","2014-12-13T18:15:56.000","MILTON-MONTFORD","14-00734079","MD","NEW","2014-10-21T12:48:35.000","21205",NA,NA,NA,NA,NA
"1118  WARD ST","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-03-17T14:25:10.000","2015-05-31T14:25:10.000","WASHINGTON VILLAGE","15-00211369","MD","CLOSED","2015-05-12T19:31:20.000","21230","Dispatch Work Crew","Work Completed","2015-05-12T19:29:00.000",NA,NA
"1439 W PATAPSCO AVE","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-03-10T20:04:35.000","2015-05-24T20:04:35.000","CHERRY HILL","15-00188155","MD","CLOSED","2015-05-14T11:57:13.000","21230","Dispatch Work Crew","Work Completed","2015-05-14T11:55:00.000",NA,NA
"3800  WILKENS AVE","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-03-25T14:25:49.000","2015-06-08T14:25:49.000","IRVINGTON","15-00235873","MD","CLOSED","2015-06-04T12:11:22.000","21229","Dispatch Work Crew","No Cause For Action","2015-06-04T12:11:00.000",NA,NA
"5100  GREENWICH AVE","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-03-23T13:45:41.000","2015-06-06T13:45:41.000","WESTGATE","15-00228224","MD","CLOSED","2015-05-12T18:50:29.000","21229","Dispatch Work Crew","Work Completed","2015-05-12T18:49:00.000",NA,NA
"RYAN ST & OTTERBEIN ST","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-05-11T13:11:32.000","2015-07-25T13:11:32.000","BARRE CIRCLE","15-00366857","MD","CLOSED","2015-07-31T18:40:54.000","21230","Dispatch Work Crew","No Cause For Action","2015-07-31T18:40:00.000",NA,NA
"5121  GREENWICH AVE","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-03-17T19:36:15.000","2015-05-31T19:36:15.000","WESTGATE","15-00213437","MD","CLOSED","2015-05-12T18:52:21.000","21229","Dispatch Work Crew","Work Completed","2015-05-12T18:50:00.000",NA,NA
"4500  WINDSOR MILL RD","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-03-10T18:40:48.000","2015-05-24T18:40:48.000","WAKEFIELD","15-00187758","MD","CLOSED","2015-05-26T18:41:49.000","21207","Dispatch Work Crew","Work Completed","2015-05-26T18:41:00.000",NA,NA
"2215  WEAVER LN","BALTIMORE","TRMMAJOR","TRM-Major Street Repairs (In House)","2015-03-17T15:35:11.000","2015-05-31T15:35:11.000","WAKEFIELD","15-00211967","MD","CLOSED","2015-05-20T18:30:17.000","21207","Dispatch Work Crew","Work Completed","2015-05-20T18:29:00.000",NA,NA
