"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Cityworks SR Comments","HARVIEW AVE & HARFORD RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-05-05T23:57:16.000","2015-05-10T23:57:16.000","NORTH HARFORD ROAD","UPDATED","15-00352074","MD","LOCKED","2015-05-06T00:05:04.000","2015-05-06T00:15:19.000","21234",NA,NA
"WO - Repair Hydrant","1710  LETITIA AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-05-04T18:14:43.000","2015-05-09T18:14:43.000","MORRELL PARK","CLOSED","15-00347697","MD","CLOSED","2015-05-11T14:27:02.000","2015-05-08T14:24:24.000","21230",NA,NA
"Cityworks SR Comments","FENWICK AVE &E NORTHERN PKWY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-26T11:36:41.000","2015-05-01T11:36:41.000","LOCH RAVEN","UPDATED","15-00325268","MD","LOCKED","2015-04-26T11:43:33.000","2015-04-26T11:53:25.000","21239",NA,NA
"Cityworks SR Comments","3200  GIBBONS AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-26T02:26:27.000","2015-05-01T02:26:27.000","WALTHERSON","UPDATED","15-00325167","MD","LOCKED","2015-04-26T02:34:21.000","2015-04-26T02:43:01.000","21214",NA,NA
"Cityworks SR Comments","1107  BRYN MAWR RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-23T13:10:00.000","2015-04-28T13:10:00.000","NORTH ROLAND PARK/POPLAR HILL","UPDATED","15-00317989","MD","LOCKED","2015-04-23T13:16:28.000","2015-04-23T13:22:00.000","21210",NA,NA
"Cityworks SR Comments","2 W MELROSE AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-21T18:24:41.000","2015-04-26T18:24:41.000","THE ORCHARDS","UPDATED","15-00312134","MD","LOCKED","2015-04-21T18:31:54.000","2015-04-21T18:39:52.000","21210",NA,NA
"Cityworks SR Comments","3611  LEO ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-21T12:29:20.000","2015-04-26T12:29:20.000","FAIRFIELD AREA","UPDATED","15-00310147","MD","LOCKED","2015-04-21T12:34:47.000","2015-04-21T12:39:25.000","21226",NA,NA
"WO - Repair Hydrant","639 E 37TH ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-16T13:38:27.000","2015-04-21T13:38:27.000","WAVERLY","CLOSED","15-00298260","MD","CLOSED","2015-04-23T18:07:22.000","2015-04-17T18:01:41.000","21218",NA,NA
"Cityworks SR Comments","HILLEN RD &E COLD SPRING LN","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-16T00:44:22.000","2015-04-21T00:44:22.000","MORGAN STATE UNIVERSITY","UPDATED","15-00297019","MD","HOLDLOCK","2015-04-21T14:12:47.000","2015-04-29T12:57:00.000","21218",NA,NA
"Cityworks SR Comments","1801  EUTAW PL","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-15T21:11:33.000","2015-04-20T21:11:33.000","BOLTON HILL","UPDATED","15-00296702","MD","LOCKED","2015-04-15T21:19:52.000","2015-04-15T21:25:12.000","21217",NA,NA
"WO - Repair Hydrant","109 E 32ND ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-15T16:37:21.000","2015-04-20T16:37:21.000","CHARLES VILLAGE","CLOSED","15-00295396","MD","CLOSED","2015-04-21T14:10:35.000","2015-04-17T14:09:52.000","21218",NA,NA
"Cityworks SR Comments","1712  WAVERLY WAY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-12T17:12:21.000","2015-04-17T17:12:21.000","LOCH RAVEN","UPDATED","15-00285024","MD","HOLDLOCK","2015-04-17T14:03:36.000","2015-04-17T14:06:34.000","21239",NA,NA
"Cityworks SR Comments","N BELNORD AVE & JEFFERSON ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-10T12:18:58.000","2015-04-15T12:18:58.000","MCELDERRY PARK","UPDATED","15-00280290","MD","CLOSED","2015-05-11T18:03:46.000","2015-05-11T18:10:42.000","21205",NA,NA
"Cityworks SR Comments","1648  WAVERLY WAY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-07T17:17:13.000","2015-04-12T17:17:13.000","LOCH RAVEN","UPDATED","15-00271295","MD","HOLDLOCK","2015-04-10T17:20:41.000","2015-04-10T17:31:34.000","21239",NA,NA
