"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Dispatch Work Crew","3122  PRESBURY ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-11T18:01:16.000","2015-05-11T18:01:16.000","ROSEMONT","No Trouble Found (Closed)","15-00368271","MD","CLOSED","2015-05-11T22:23:49.000","2015-05-11T22:22:00.000","21216",NA,NA
"Dispatch Work Crew","E NORTH AVE & HARFORD RD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-10T02:48:52.000","2015-05-10T02:48:52.000","OLIVER","No Trouble Found (Closed)","15-00365265","MD","CLOSED","2015-05-10T20:23:12.000","2015-05-10T20:23:00.000","21213",NA,NA
"Dispatch Work Crew","2307 N HILTON ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-09T16:25:53.000","2015-05-09T16:25:53.000","WALBROOK","Debris Removed (Closed)","15-00364547","MD","CLOSED","2015-05-09T21:22:14.000","2015-05-09T21:21:00.000","21216",NA,NA
"Dispatch Work Crew","2520  GUILFORD AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-09T13:03:38.000","2015-05-09T13:03:38.000","CHARLES VILLAGE","No Trouble Found (Closed)","15-00363915","MD","CLOSED","2015-05-09T20:28:13.000","2015-05-09T20:27:00.000","21218",NA,NA
"Dispatch Work Crew","FALLS RD & I 83 S","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-08T22:21:02.000","2015-05-08T22:21:02.000","DRUID HILL PARK","No Trouble Found (Closed)","15-00362328","MD","CLOSED","2015-05-09T20:49:07.000","2015-05-09T20:48:00.000","21211",NA,NA
NA,"EDMONDSON AVE &N HILTON ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-08T22:20:35.000","2015-05-08T22:20:35.000","EDMONDSON VILLAGE",NA,"15-00362320","MD","DUPCLOSD","2015-05-08T23:04:54.000",NA,"21229",NA,NA
"Dispatch Work Crew","2400 S HANOVER ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-08T22:13:19.000","2015-05-08T22:13:19.000","SPRING GARDEN INDUSTRIAL AREA","No Trouble Found (Closed)","15-00362292","MD","CLOSED","2015-05-09T00:26:20.000","2015-05-09T00:26:00.000","21230",NA,NA
"Dispatch Work Crew","EDMONDSON AVE & HILTON PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-08T21:35:51.000","2015-05-08T21:35:51.000","CARROLL-SOUTH HILTON","Debris Removed (Closed)","15-00362231","MD","CLOSED","2015-05-08T23:04:55.000","2015-05-08T23:04:00.000","21229",NA,NA
"Dispatch Work Crew","PARK HEIGHTS AVE &W NORTHERN PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-08T19:33:31.000","2015-05-08T19:33:31.000","ARLINGTON","No Trouble Found (Closed)","15-00361928","MD","CLOSED","2015-05-08T20:32:13.000","2015-05-08T20:32:00.000","21215",NA,NA
"Dispatch Work Crew","6000  PERRING PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-08T17:41:36.000","2015-05-08T17:41:36.000","MT PLEASANT PARK",NA,"15-00361344","MD","CLOSED","2015-05-09T20:34:25.000","2015-05-09T20:31:00.000","21239",NA,NA
"Dispatch Work Crew","CYLBURN AVE &W NORTHERN PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-08T12:46:31.000","2015-05-08T12:46:31.000","COLDSPRING","No Trouble Found (Closed)","15-00359944","MD","CLOSED","2015-05-10T20:51:50.000","2015-05-10T20:51:00.000","21209",NA,NA
"Dispatch Work Crew","W COLD SPRING LN & TAMARIND RD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-08T11:07:18.000","2015-05-08T11:07:18.000","COLDSPRING","Debris Removed (Closed)","15-00359504","MD","CLOSED","2015-05-08T12:43:55.000","2015-05-08T12:43:00.000","21209",NA,NA
"Dispatch Work Crew","E NORTHERN PKWY & PERRING PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-06T20:46:03.000","2015-05-06T20:46:03.000","HARFORD-ECHODALE/PERRING PARKWAY","No Trouble Found (Closed)","15-00355730","MD","CLOSED","2015-05-06T22:48:35.000","2015-05-06T22:47:00.000","21239",NA,NA
NA,"MAINE AVE & BERWYN AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-06T18:26:46.000","2015-05-06T18:26:46.000","FOREST PARK",NA,"15-00355122","MD","CLOSED","2015-05-06T19:16:09.000",NA,"21207",NA,NA
"Dispatch Work Crew","SAINT PAUL PL &E FRANKLIN ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-06T05:38:49.000","2015-05-06T05:38:49.000","DOWNTOWN","Debris Removed (Closed)","15-00352370","MD","CLOSED","2015-05-06T13:19:00.000","2015-05-06T13:18:00.000","21202",NA,NA
"Dispatch Work Crew","CALLAWAY AVE & GARRISON BLVD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-05T20:54:16.000","2015-05-05T20:54:16.000","CONCERNED CITIZENS OF FOREST PARK","Debris Removed (Closed)","15-00351541","MD","CLOSED","2015-05-05T21:26:56.000","2015-05-05T21:26:00.000","21216",NA,NA
"Dispatch Work Crew","1101 W 36TH ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-05T20:02:09.000","2015-05-05T20:02:09.000","HAMPDEN","No Trouble Found (Closed)","15-00351290","MD","CLOSED","2015-05-05T20:37:50.000","2015-05-05T20:37:00.000","21211",NA,NA
"Dispatch Work Crew","1440  83  S","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-04T23:54:50.000","2015-05-04T23:54:50.000","MID-TOWN BELVEDERE","Debris Removed (Closed)","15-00348587","MD","CLOSED","2015-05-05T00:39:44.000","2015-05-05T00:39:00.000","21201",NA,NA
"Dispatch Work Crew","1321 S HOWARD ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-04T23:50:37.000","2015-05-04T23:50:37.000","CARROLL - CAMDEN INDUSTRIAL AREA","No Trouble Found (Closed)","15-00348580","MD","CLOSED","2015-05-05T00:03:55.000","2015-05-05T00:03:00.000","21230",NA,NA
"Dispatch Work Crew","I 83 N &W NORTHERN PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-02T13:20:25.000","2015-05-02T13:20:25.000","CROSS KEYS","No Trouble Found (Closed)","15-00342915","MD","CLOSED","2015-05-06T00:21:35.000","2015-05-06T00:21:00.000","21210",NA,NA
"Dispatch Work Crew","ERDMAN AVE & I 895 S","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-30T17:26:30.000","2015-04-30T17:26:30.000","KRESSON","No Trouble Found (Closed)","15-00338681","MD","CLOSED","2015-04-30T18:34:33.000","2015-04-30T20:00:00.000","21205",NA,NA
