"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"3514 W FOREST PARK AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-04-21T02:26:08.000","2015-04-25T02:26:08.000","FOREST PARK","15-00309608","MD","CLOSED","2015-05-12T09:17:47.000","21216",NA,NA,NA,9,-76.676489,39.324834
"3402  MARY AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-22T04:09:50.000","2015-07-26T04:09:50.000","GLENHAM-BELFORD","15-00576312","MD","DUPCLOSD","2015-07-22T10:21:26.000","21214",NA,NA,NA,9,-76.5522359,39.352558
"5200  THE ALAMEDA","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-01T14:05:14.000","2015-07-05T14:05:14.000","KENILWORTH PARK","15-00516379","MD","CLOSED","2015-07-02T03:35:30.000","21212",NA,NA,NA,9,-76.5988056,39.3508982
"325  WINSTON AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-31T00:56:19.000","2015-08-04T00:56:19.000","RADNOR-WINSTON","15-00605356","MD","CLOSED","2015-07-31T07:36:33.000","21212",NA,NA,NA,9,-76.612577,39.349632
"N BENTALOU ST & BAKER ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T22:42:13.000","2015-05-15T22:42:13.000","COPPIN HEIGHTS/ASH-CO-EAST","15-00369194","MD","CLOSED","2015-05-12T09:34:28.000","21216",NA,NA,NA,9,-76.6535563,39.300701
"2338  MONTEBELLO TER","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-28T06:01:17.000","2015-06-01T06:01:17.000","MORGAN PARK","15-00414436","MD","CLOSED","2015-05-28T06:29:05.000","21214",NA,NA,NA,9,-76.5794439,39.3474174
"1202  LAKESIDE AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-18T16:14:22.000","2015-07-22T16:14:22.000","EDNOR GARDENS-LAKESIDE","15-00567289","MD","CLOSED","2015-07-21T05:26:29.000","21218",NA,NA,NA,9,-76.598857,39.329558
"2001 N PULASKI ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-24T12:49:36.000","2015-06-28T12:49:36.000","MONDAWMIN","15-00492200","MD","CLOSED","2015-06-25T03:09:49.000","21217",NA,NA,NA,9,-76.651147,39.311104
"1400 N ELLWOOD AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-16T00:24:42.000","2015-07-20T00:24:42.000","BEREA","15-00559136","MD","CLOSED","2015-07-16T06:10:49.000","21213",NA,NA,NA,9,-76.574125,39.307326
"1300 N KENWOOD AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-13T00:42:25.000","2015-07-17T00:42:25.000","BEREA","15-00547226","MD","CLOSED","2015-07-14T01:56:33.000","21213",NA,NA,NA,9,-76.578806,39.306371
"10 W WEST ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-22T03:59:47.000","2015-07-26T03:59:47.000","FEDERAL HILL","15-00576311","MD","DUPCLOSD","2015-07-22T04:40:08.000","21230",NA,NA,NA,9,-76.6149035,39.2757
