"","m","km","miles","seconds","minutes","hours","startLon","startLat","endLon","endLat","leg","route"
"1",370,0.37,0.229918,112,1.86666666666667,0.0311111111111111,-76.6159593,39.3282219,-76.6161766,39.331543,1,"A"
"2",1003,1.003,0.6232642,328,5.46666666666667,0.0911111111111111,-76.6161766,39.331543,-76.6251485,39.3373011,2,"A"
"3",38,0.038,0.0236132,16,0.266666666666667,0.00444444444444444,-76.6251485,39.3373011,-76.6255686,39.337356,3,"A"
"4",645,0.645,0.400803,277,4.61666666666667,0.0769444444444444,-76.6255686,39.337356,-76.6330514,39.3371212,4,"A"
"5",669,0.669,0.4157166,122,2.03333333333333,0.0338888888888889,-76.6330514,39.3371212,-76.6326582,39.3311108,5,"A"
"6",200,0.2,0.12428,43,0.716666666666667,0.0119444444444444,-76.6326582,39.3311108,-76.6349814,39.3309976,6,"A"
"7",16,0.016,0.0099424,49,0.816666666666667,0.0136111111111111,-76.6349814,39.3309976,-76.6349679,39.3308527,7,"A"
"8",368,0.368,0.2286752,48,0.8,0.0133333333333333,-76.6349679,39.3308527,-76.6391279,39.3300737,8,"A"
"9",248,0.248,0.1541072,39,0.65,0.0108333333333333,-76.6391279,39.3300737,-76.6398234,39.3322307,9,"A"
"10",85,0.085,0.052819,10,0.166666666666667,0.00277777777777778,-76.6398234,39.3322307,-76.6407985,39.3320859,10,"A"
"11",370,0.37,0.229918,112,1.86666666666667,0.0311111111111111,-76.6159593,39.3282219,-76.6161766,39.331543,1,"B"
"12",1003,1.003,0.6232642,328,5.46666666666667,0.0911111111111111,-76.6161766,39.331543,-76.6251485,39.3373011,2,"B"
"13",38,0.038,0.0236132,16,0.266666666666667,0.00444444444444444,-76.6251485,39.3373011,-76.6255686,39.337356,3,"B"
"14",749,0.749,0.4654286,319,5.31666666666667,0.0886111111111111,-76.6255686,39.337356,-76.6341961,39.337403,4,"B"
"15",640,0.64,0.397696,159,2.65,0.0441666666666667,-76.6341961,39.337403,-76.6410283,39.3362158,5,"B"
"16",456,0.456,0.2833584,182,3.03333333333333,0.0505555555555556,-76.6410283,39.3362158,-76.6398234,39.3322307,6,"B"
"17",85,0.085,0.052819,11,0.183333333333333,0.00305555555555556,-76.6398234,39.3322307,-76.6407985,39.3320859,7,"B"
"18",161,0.161,0.1000454,135,2.25,0.0375,-76.6159593,39.3282219,-76.6178013,39.3280894,1,"C"
"19",193,0.193,0.1199302,104,1.73333333333333,0.0288888888888889,-76.6178013,39.3280894,-76.617694,39.3263517,2,"C"
"20",266,0.266,0.1652924,63,1.05,0.0175,-76.617694,39.3263517,-76.6198954,39.3246778,3,"C"
"21",148,0.148,0.0919672,40,0.666666666666667,0.0111111111111111,-76.6198954,39.3246778,-76.6214453,39.325085,4,"C"
"22",223,0.223,0.1385722,51,0.85,0.0141666666666667,-76.6214453,39.325085,-76.6236417,39.3240292,5,"C"
"23",404,0.404,0.2510456,152,2.53333333333333,0.0422222222222222,-76.6236417,39.3240292,-76.6261431,39.3270906,6,"C"
"24",260,0.26,0.161564,110,1.83333333333333,0.0305555555555556,-76.6261431,39.3270906,-76.6291602,39.3270309,7,"C"
"25",469,0.469,0.2914366,124,2.06666666666667,0.0344444444444444,-76.6291602,39.3270309,-76.629401,39.3312408,8,"C"
"26",481,0.481,0.2988934,128,2.13333333333333,0.0355555555555556,-76.629401,39.3312408,-76.6349814,39.3309976,9,"C"
"27",16,0.016,0.0099424,49,0.816666666666667,0.0136111111111111,-76.6349814,39.3309976,-76.6349679,39.3308527,10,"C"
"28",368,0.368,0.2286752,48,0.8,0.0133333333333333,-76.6349679,39.3308527,-76.6391279,39.3300737,11,"C"
"29",248,0.248,0.1541072,39,0.65,0.0108333333333333,-76.6391279,39.3300737,-76.6398234,39.3322307,12,"C"
"30",85,0.085,0.052819,10,0.166666666666667,0.00277777777777778,-76.6398234,39.3322307,-76.6407985,39.3320859,13,"C"
